Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,churn_flag,Age_Group,Tenure_Group,Customer_Lifecycle,Revenue_Per_Month,Total_Extra_Charges,Net_Revenue,Charge_Revenue_Ratio,Revenue_to_Charge_Ratio,Referral_Group,Has_Referral,Service_Count,Streaming_Service_Count,Protection_Service_Count,Has_Phone_Service,Has_Multiple_Lines,Is_Long_Term_Contract,Has_Internet,Has_Online_Security,Is_Automatic_Payment,Is_Paperless,Has_Value_Deal,Average_Charge_Per_Month,Charge_Difference,Refund_Rate,Extra_Charge_Ratio,Revenue_Segment,Age_MonthlyCharge_Interaction,State_Avg_Revenue,Revenue_vs_State_Avg,Contract_Avg_Charge,Revenue_Percentile,State_Revenue_Rank
19877-DEL,Male,35,No,Delhi,7,27,NO DEAL,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,Stayed,Others,Others,0,Middle Age,25-48 Months,Established,36.10407407407407,381.51,974.81,0.0672951652116822,14.859908536585367,High,1,5,1,2,1,0,1,1,0,0,1,0,21.97407407407407,43.62592592592593,0.0,0.3913685743888552,Medium Value,2296.0,3304.1361417322832,-2329.3261417322833,64.46928520877566,0.3268931131193518,88.0
58353-MAH,Female,45,Yes,Maharashtra,14,13,NO DEAL,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,38.33,10,96.21,610.28,Stayed,Others,Others,0,Middle Age,13-24 Months,Growing,46.94461538461538,106.21,571.9499999999999,-0.0065543684865963,-152.57,High,1,4,2,0,1,1,0,1,0,0,0,0,41.72307692307693,-45.72307692307693,0.0706674041297935,0.1740348692403487,Medium Value,-180.0,3249.5820634920638,-2639.302063492064,64.55887096774194,0.2519476472421315,380.0
25063-WES,Male,51,No,West Bengal,4,35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,1,Senior,25-48 Months,Established,11.87,134.6,415.45,0.1778794078709833,5.621786197564275,Medium,1,3,0,1,1,0,0,1,0,0,1,0,8.024285714285716,65.8757142857143,0.0,0.3239860392345649,Low Value,3768.9,3213.946358695652,-2798.4963586956524,64.55887096774194,0.20286693674041759,296.0
59787-KAR,Male,79,No,Karnataka,3,21,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,1,Elder,13-24 Months,Growing,76.16714285714286,361.66,1599.51,0.0612687635588398,16.3215306122449,Medium,1,6,2,2,1,0,0,1,0,0,1,0,58.94523809523809,39.05476190476191,0.0,0.2261067451907146,Medium Value,7742.0,3054.5152765957446,-1455.0052765957446,64.55887096774194,0.4319102524150826,279.0
28544-TAM,Female,80,No,Tamil Nadu,3,8,NO DEAL,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,1,Elder,7-12 Months,Growing,36.1925,22.14,289.54,0.2897699799682254,3.4510131108462456,Medium,1,4,1,1,1,0,0,1,0,0,1,0,33.425,50.47500000000001,0.0,0.0764661186709953,Low Value,6712.0,3072.9106666666667,-2783.3706666666667,64.55887096774194,0.16500467435338112,491.0
32750-TEL,Male,24,No,Telangana,9,2,Deal 5,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.38,Stayed,Others,Others,0,Young Adult,0-6 Months,New,361.19,150.93,722.38,0.0960713198039812,10.40893371757925,High,1,6,3,1,1,0,0,1,0,0,1,0,285.725,-216.325,0.0,0.2089343558791771,Medium Value,1665.6,2991.1121352313166,-2268.7321352313165,64.55887096774194,0.2746961670302275,207.0
84741-MAH,Female,66,Yes,Maharashtra,9,23,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,Stayed,Others,Others,0,Elder,13-24 Months,Growing,374.4091304347826,707.16,8611.41,0.01273891267516,78.4996353691887,High,1,9,3,4,1,0,1,1,1,0,1,0,343.6630434782609,-233.9630434782609,0.0,0.0821189561291356,Very High Value,7240.2,3249.5820634920638,5361.827936507936,61.249883653286794,0.9439077594266126,35.0
65618-GUJ,Male,51,Yes,Gujarat,12,24,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.28,Stayed,Others,Others,0,Senior,13-24 Months,Growing,258.92833333333334,836.48,6214.28,0.0136218516063003,73.41145894861192,High,1,4,0,2,1,1,1,1,1,0,1,0,224.075,-139.425,0.0,0.1346061007872191,Very High Value,4317.150000000001,3057.1323582089553,3157.1476417910444,61.249883653286794,0.8240885010906824,58.0
64233-GUJ,Female,63,No,Gujarat,4,10,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,Stayed,Others,Others,0,Elder,7-12 Months,Growing,41.406,73.71,414.06,0.1164082500120755,8.59045643153527,Medium,1,3,0,1,1,0,1,1,1,0,1,0,34.035000000000004,14.165,0.0,0.1780176785973047,Low Value,3036.6000000000004,3057.1323582089553,-2643.0723582089554,61.249883653286794,0.202399501402306,280.0
23612-UTT,Female,41,No,Uttar Pradesh,3,1,NO DEAL,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.8,Stayed,Others,Others,0,Middle Age,0-6 Months,New,7807.8,1849.9,7807.8,0.0115845692768769,86.3217247097844,Medium,1,10,3,4,1,1,1,1,1,0,1,0,5957.9,-5867.45,0.0,0.2369297369297369,Very High Value,3708.45,3041.5530683624797,4766.246931637521,61.249883653286794,0.9079152383920225,64.0
