Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,churn_flag,Age_Group,Tenure_Group,Customer_Lifecycle,Revenue_Per_Month,Total_Extra_Charges,Net_Revenue,Charge_Revenue_Ratio,Revenue_to_Charge_Ratio,Referral_Group,Has_Referral,Service_Count,Streaming_Service_Count,Protection_Service_Count,Has_Phone_Service,Has_Multiple_Lines,Is_Long_Term_Contract,Has_Internet,Has_Online_Security,Is_Automatic_Payment,Is_Paperless,Has_Value_Deal,Average_Charge_Per_Month,Charge_Difference,Refund_Rate,Extra_Charge_Ratio,Revenue_Segment,Age_MonthlyCharge_Interaction,Churn_Status_Predicted,Churn_Prediction
25063-WES,Male,51,No,West Bengal,4,35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,1,Senior,25-48 Months,Established,11.87,134.6,415.45,0.1778794078709833,5.621786197564275,Medium,1,3,0,1,1,0,0,1,0,0,1,0,8.024285714285716,65.8757142857143,0.0,0.3239860392345649,Low Value,3768.9,1,Churned
59787-KAR,Male,79,No,Karnataka,3,21,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,1,Elder,13-24 Months,Growing,76.16714285714286,361.66,1599.51,0.0612687635588398,16.3215306122449,Medium,1,6,2,2,1,0,0,1,0,0,1,0,58.94523809523809,39.05476190476191,0.0,0.2261067451907146,Medium Value,7742.0,1,Churned
28544-TAM,Female,80,No,Tamil Nadu,3,8,NO DEAL,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,1,Elder,7-12 Months,Growing,36.1925,22.14,289.54,0.2897699799682254,3.4510131108462456,Medium,1,4,1,1,1,0,0,1,0,0,1,0,33.425,50.47500000000001,0.0,0.0764661186709953,Low Value,6712.0,1,Churned
13717-UTT,Male,56,Yes,Uttar Pradesh,15,26,NO DEAL,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,Others,Others,0,Senior,25-48 Months,Established,17.10576923076923,93.25,444.75,0.1550309162450815,6.45032632342277,High,1,2,0,0,1,0,0,1,0,0,1,0,13.51923076923077,55.43076923076923,0.0,0.2096683530073075,Low Value,3861.2,1,Churned
93520-GUJ,Female,67,No,Gujarat,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,Others,Others,0,Elder,13-24 Months,Growing,4.203684210526316,7.77,79.87,0.9027169149868536,1.1077669902912624,High,1,3,0,0,1,1,1,1,0,0,1,0,3.794736842105263,68.30526315789473,0.0,0.0972830850131463,Low Value,4830.7,1,Churned
73360-AND,Female,74,No,Andhra Pradesh,0,30,NO DEAL,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,1,Elder,25-48 Months,Established,109.055,480.15,3271.65,0.0191646416945577,52.17942583732057,No Referral,0,5,1,2,1,0,1,1,1,0,0,0,93.05,-30.349999999999994,0.0,0.1467608087662188,High Value,4639.8,1,Churned
36756-MAD,Male,64,Yes,Madhya Pradesh,15,33,NO DEAL,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,1,Elder,25-48 Months,Established,0.7606060606060606,0.0,25.1,1.0,1.0,High,1,1,0,0,0,0,0,1,0,0,1,0,0.7606060606060606,24.33939393939394,0.0,0.0,Low Value,1606.4,1,Churned
87346-MAD,Female,29,Yes,Madhya Pradesh,12,20,NO DEAL,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,1,Young Adult,13-24 Months,Growing,89.09400000000001,566.28,1781.88,0.0528093923272049,18.936025504782148,High,1,6,1,2,1,1,0,1,0,0,0,0,60.78,33.32,0.0,0.3177991783958515,Medium Value,2728.9,1,Churned
57256-BIH,Female,18,No,Bihar,9,7,NO DEAL,Yes,No,No,No Type,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,Others,Others,0,Teen,7-12 Months,Growing,9.508571428571427,9.36,66.56,0.2982271634615385,3.353148614609572,High,1,1,0,0,1,0,0,0,0,0,0,0,8.171428571428573,11.678571428571429,0.0,0.140625,Low Value,357.3,1,Churned
65431-CHH,Female,31,No,Chhattisgarh,12,24,Deal 5,Yes,No,No,No Type,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,1,Middle Age,13-24 Months,Growing,5.252916666666667,49.72,126.07,0.1614182596969937,6.195085995085995,High,1,1,0,0,1,0,0,0,0,0,0,0,3.18125,17.168750000000003,0.0,0.394384072340763,Low Value,630.85,1,Churned
