Make,EV_Type,Vehicle_Count,Market_Share_%
ALFA ROMEO,Plug-in Hybrid Electric Vehicle (PHEV),12,0.007974375672837947
AUDI,Battery Electric Vehicle (BEV),1662,1.1044510306880557
AUDI,Plug-in Hybrid Electric Vehicle (PHEV),1344,0.8931300753578502
AZURE DYNAMICS,Battery Electric Vehicle (BEV),9,0.0059807817546284605
BENTLEY,Plug-in Hybrid Electric Vehicle (PHEV),2,0.001329062612139658
BMW,Battery Electric Vehicle (BEV),1796,1.1934982257014126
BMW,Plug-in Hybrid Electric Vehicle (PHEV),4643,3.085418854082216
CADILLAC,Battery Electric Vehicle (BEV),84,0.055820629709865635
CADILLAC,Plug-in Hybrid Electric Vehicle (PHEV),92,0.06113688015842426
CHEVROLET,Battery Electric Vehicle (BEV),7136,4.7420954001143
CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),4890,3.2495580866814637
CHRYSLER,Plug-in Hybrid Electric Vehicle (PHEV),2642,1.755691710636488
FIAT,Battery Electric Vehicle (BEV),806,0.5356122326922822
FISKER,Plug-in Hybrid Electric Vehicle (PHEV),17,0.011297032203187092
FORD,Battery Electric Vehicle (BEV),3908,2.5969883441208914
FORD,Plug-in Hybrid Electric Vehicle (PHEV),3706,2.462753020294786
GENESIS,Battery Electric Vehicle (BEV),107,0.0711048497494717
HONDA,Plug-in Hybrid Electric Vehicle (PHEV),810,0.5382703579165615
HYUNDAI,Battery Electric Vehicle (BEV),2695,1.7909118698581892
HYUNDAI,Plug-in Hybrid Electric Vehicle (PHEV),476,0.3163169016892386
JAGUAR,Battery Electric Vehicle (BEV),228,0.151513137783921
JEEP,Plug-in Hybrid Electric Vehicle (PHEV),3292,2.187637059581877
KIA,Battery Electric Vehicle (BEV),4148,2.7564758575776507
KIA,Plug-in Hybrid Electric Vehicle (PHEV),2050,1.3622891774431494
LAND ROVER,Plug-in Hybrid Electric Vehicle (PHEV),47,0.03123297138528196
LEXUS,Battery Electric Vehicle (BEV),54,0.03588469052777076
LEXUS,Plug-in Hybrid Electric Vehicle (PHEV),84,0.055820629709865635
LINCOLN,Plug-in Hybrid Electric Vehicle (PHEV),229,0.15217766908999084
LUCID,Battery Electric Vehicle (BEV),190,0.12626094815326752
MAZDA,Plug-in Hybrid Electric Vehicle (PHEV),136,0.09037625762549674
MERCEDES-BENZ,Battery Electric Vehicle (BEV),790,0.5249797317951649
MERCEDES-BENZ,Plug-in Hybrid Electric Vehicle (PHEV),264,0.17543626480243485
MINI,Battery Electric Vehicle (BEV),579,0.38476362621443094
MINI,Plug-in Hybrid Electric Vehicle (PHEV),212,0.14088063688680375
MITSUBISHI,Battery Electric Vehicle (BEV),59,0.03920734705811991
MITSUBISHI,Plug-in Hybrid Electric Vehicle (PHEV),790,0.5249797317951649
NISSAN,Battery Electric Vehicle (BEV),13497,8.969179038024482
POLESTAR,Battery Electric Vehicle (BEV),764,0.5077019178373493
PORSCHE,Battery Electric Vehicle (BEV),547,0.3634986244201964
PORSCHE,Plug-in Hybrid Electric Vehicle (PHEV),481,0.3196395582195877
RIVIAN,Battery Electric Vehicle (BEV),2483,1.6500312329713853
SMART,Battery Electric Vehicle (BEV),274,0.18208157786313311
SUBARU,Battery Electric Vehicle (BEV),559,0.37147300009303436
SUBARU,Plug-in Hybrid Electric Vehicle (PHEV),64,0.042530003588469055
TESLA,Battery Electric Vehicle (BEV),68983,45.84136308661501
TH!NK,Battery Electric Vehicle (BEV),5,0.0033226565303491446
TOYOTA,Battery Electric Vehicle (BEV),189,0.12559641684719766
TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),5034,3.3452505947555187
VOLKSWAGEN,Battery Electric Vehicle (BEV),4074,2.7073005409284834
VOLVO,Battery Electric Vehicle (BEV),1181,0.784811472468468
VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),2355,1.564971225794447
WHEEGO ELECTRIC CARS,Plug-in Hybrid Electric Vehicle (PHEV),3,0.001993593918209487
