Make,Vehicle_Count,Model_Count,State_Count,Avg_Range,Median_Range,Avg_MSRP,Median_MSRP,Avg_Vehicle_Age,Market_Share_%,Volume_Rank
ALFA ROMEO,12,1,1,33.0,33.0,0.0,0.0,0.0,0.007974375672837947,33
AUDI,3006,11,6,53.51729873586161,16.0,0.0,0.0,3.5169660678642716,1.9975811060459057,12
AZURE DYNAMICS,9,1,1,56.0,56.0,0.0,0.0,12.555555555555555,0.0059807817546284605,34
BENTLEY,2,2,1,19.0,19.0,0.0,0.0,2.5,0.001329062612139658,37
BMW,6439,11,11,38.16337940674018,30.0,4154.123311073148,0.0,4.297717036806958,4.2789170797836285,5
CADILLAC,176,3,2,19.079545454545453,31.0,6400.142045454545,0.0,4.954545454545454,0.1169575098682899,27
CHEVROLET,12026,5,14,95.26767004822884,53.0,0.0,0.0,5.812489605853983,7.991653486795763,3
CHRYSLER,2642,1,11,32.24299772899319,32.0,1771.163890991673,0.0,3.278198334595004,1.755691710636488,13
FIAT,806,1,1,85.62655086848635,87.0,0.0,0.0,8.531017369727047,0.5356122326922822,19
FISKER,17,1,2,33.0,33.0,102000.0,102000.0,12.0,0.011297032203187092,32
FORD,7614,8,12,13.023903335960073,19.0,0.0,0.0,5.098634095087996,5.059741364415678,4
GENESIS,107,3,1,0.0,0.0,0.0,0.0,1.0,0.0711048497494717,30
HONDA,810,2,3,46.62716049382716,47.0,0.0,0.0,5.676543209876543,0.5382703579165615,18
HYUNDAI,3171,8,6,23.982970671712394,0.0,0.0,0.0,1.8975086723431094,2.1072287715474274,11
JAGUAR,228,1,1,204.23684210526315,234.0,0.0,0.0,4.2894736842105265,0.151513137783921,25
JEEP,3292,2,8,22.331713244228432,21.0,0.0,0.0,1.595078979343864,2.187637059581877,10
KIA,6198,7,9,52.61568247821878,26.0,3253.0413036463374,0.0,2.97757341077767,4.1187650350208,6
LAND ROVER,47,2,2,21.72340425531915,19.0,0.0,0.0,3.5106382978723403,0.03123297138528196,31
LEXUS,138,2,1,22.52173913043478,37.0,0.0,0.0,1.1884057971014492,0.09170532023763639,28
LINCOLN,229,2,2,23.62882096069869,21.0,0.0,0.0,2.2358078602620086,0.15217766908999084,24
LUCID,190,1,1,0.0,0.0,0.0,0.0,1.5210526315789474,0.12626094815326752,26
MAZDA,136,1,1,26.0,26.0,0.0,0.0,0.0,0.09037625762549674,29
MERCEDES-BENZ,1054,10,2,10.081593927893739,0.0,0.0,0.0,2.8946869070208727,0.7004159965975998,15
MINI,791,2,1,20.826801517067004,0.0,7177.370417193426,0.0,2.43236409608091,0.5256442631012347,20
MITSUBISHI,849,2,2,29.784452296819786,22.0,0.0,0.0,4.00942285041225,0.5641870788532848,17
NISSAN,13497,2,13,84.7249018300363,84.0,0.0,0.0,7.223901607764688,8.969179038024482,2
POLESTAR,764,1,2,36.29188481675393,0.0,0.0,0.0,1.781413612565445,0.5077019178373493,21
PORSCHE,1028,4,2,46.59727626459144,14.0,4294.066147859922,0.0,3.969844357976654,0.6831381826397842,16
RIVIAN,2483,3,2,0.0,0.0,0.0,0.0,1.5110753121224325,1.6500312329713853,14
SMART,274,3,1,62.37591240875913,58.0,0.0,0.0,8.441605839416058,0.18208157786313311,23
SUBARU,623,2,2,1.7463884430176566,0.0,3594.991974317817,0.0,1.4109149277688604,0.4140030036815034,22
TESLA,68983,5,35,90.2969427250192,0.0,1648.601829436238,0.0,3.359392893901396,45.84136308661501,1
TH!NK,5,1,1,100.0,100.0,0.0,0.0,13.0,0.0033226565303491446,35
TOYOTA,5223,6,12,26.91805475780203,25.0,0.0,0.0,5.448592762780011,3.4708470116027166,7
VOLKSWAGEN,4074,2,8,28.33406971035837,0.0,0.0,0.0,3.1094747177221405,2.7073005409284834,8
VOLVO,3536,7,7,15.633484162895927,18.0,4785.930429864254,0.0,2.725113122171946,2.3497826982629153,9
WHEEGO ELECTRIC CARS,3,1,1,100.0,100.0,32995.0,32995.0,14.0,0.001993593918209487,36
