Make,Model,Vehicle_Count,State_Count,Avg_Range,Median_Range,Avg_MSRP,Median_MSRP,Avg_Vehicle_Age,Market_Share_%,Volume_Rank
ALFA ROMEO,TONALE,12,1,33.0,33.0,0.0,0.0,0.0,0.007974375672837947,108
AUDI,A3,574,3,16.0,16.0,0.0,0.0,7.06794425087108,0.3814409696840818,40
AUDI,A7,12,1,24.0,24.0,0.0,0.0,3.0,0.007974375672837947,108
AUDI,A8 E,3,1,17.0,17.0,0.0,0.0,4.0,0.001993593918209487,113
AUDI,E-TRON,979,5,122.69662921348315,204.0,0.0,0.0,3.4167517875383044,0.6505761486423625,25
AUDI,E-TRON GT,121,1,0.0,0.0,0.0,0.0,1.6611570247933884,0.08040828803444931,79
AUDI,E-TRON SPORTBACK,165,1,96.44848484848485,0.0,0.0,0.0,2.757575757575758,0.10964766550152177,68
AUDI,Q4,290,1,0.0,0.0,0.0,0.0,1.282758620689655,0.1927140787602504,54
AUDI,Q5,140,1,22.607142857142858,23.0,0.0,0.0,2.0,0.09303438284977605,73
AUDI,Q5 E,615,1,19.757723577235772,20.0,0.0,0.0,2.8764227642276423,0.4086867532329448,38
AUDI,Q8,80,1,0.0,0.0,0.0,0.0,0.0,0.053162504485586314,87
AUDI,RS E-TRON GT,27,1,0.0,0.0,0.0,0.0,1.6666666666666667,0.01794234526388538,102
AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,9,1,56.0,56.0,0.0,0.0,12.555555555555555,0.0059807817546284605,110
BENTLEY,BENTAYGA,1,1,17.0,17.0,0.0,0.0,3.0,0.000664531306069829,115
BENTLEY,FLYING SPUR,1,1,21.0,21.0,0.0,0.0,2.0,0.000664531306069829,115
BMW,330E,427,5,17.7096018735363,20.0,20011.943793911007,0.0,3.9531615925058547,0.28375486769181696,45
BMW,530E,408,1,15.904411764705882,16.0,37963.60294117647,53400.0,4.573529411764706,0.27112877287649023,47
BMW,740E,30,2,14.0,14.0,90471.66666666667,90700.0,6.033333333333333,0.019935939182094867,100
BMW,745E,7,1,16.0,16.0,0.0,0.0,4.0,0.004651719142488802,111
BMW,745LE,2,1,16.0,16.0,0.0,0.0,2.0,0.001329062612139658,114
BMW,I3,1917,1,88.9546165884194,81.0,0.0,0.0,7.649973917579551,1.2739065137358623,15
BMW,I4,713,2,0.0,0.0,0.0,0.0,1.1514726507713886,0.47381082122778806,35
BMW,I8,89,1,15.01123595505618,14.0,0.0,0.0,7.550561797752809,0.059143286240214775,83
BMW,IX,491,3,0.0,0.0,0.0,0.0,1.0529531568228105,0.326284871280286,44
BMW,X3,287,1,17.0,17.0,0.0,0.0,3.2717770034843205,0.1907204848420409,55
BMW,X5,2068,6,26.29497098646035,30.0,0.0,0.0,3.0425531914893615,1.3742507409524063,14
CADILLAC,CT6,15,1,31.0,31.0,75095.0,75095.0,6.2,0.009967969591047433,106
CADILLAC,ELR,77,1,37.57142857142857,37.0,0.0,0.0,9.480519480519481,0.05116891056737683,89
CADILLAC,LYRIQ,84,2,0.0,0.0,0.0,0.0,0.5833333333333334,0.055820629709865635,86
CHEVROLET,BOLT EUV,1153,2,0.0,0.0,0.0,0.0,1.0,0.7662045958985128,23
CHEVROLET,BOLT EV,5733,6,157.5836385836386,238.0,0.0,0.0,4.2328623757195185,3.8097579776983297,5
CHEVROLET,S-10 PICKUP,1,1,39.0,39.0,0.0,0.0,27.0,0.000664531306069829,115
CHEVROLET,SPARK,249,2,82.0,82.0,0.0,0.0,8.903614457831326,0.1654682952113874,57
CHEVROLET,VOLT,4890,10,45.35889570552147,53.0,0.0,0.0,8.637423312883435,3.2495580866814637,7
CHRYSLER,PACIFICA,2642,11,32.24299772899319,32.0,1771.163890991673,0.0,3.278198334595004,1.755691710636488,10
FIAT,500,806,1,85.62655086848635,87.0,0.0,0.0,8.531017369727047,0.5356122326922822,30
FISKER,KARMA,17,2,33.0,33.0,102000.0,102000.0,12.0,0.011297032203187092,104
FORD,C-MAX,1546,4,19.176584734799484,19.0,0.0,0.0,9.121604139715394,1.0273653991839555,19
FORD,ESCAPE,331,1,37.873111782477345,38.0,0.0,0.0,2.054380664652568,0.21995986230911338,51
FORD,F-150,768,2,0.0,0.0,0.0,0.0,1.4322916666666667,0.5103600430616286,33
FORD,FOCUS,239,2,79.01255230125523,76.0,0.0,0.0,9.552301255230125,0.15882298215068913,58
FORD,FUSION,1829,7,20.382176052487697,19.0,0.0,0.0,7.95188627665391,1.215427758801717,16
FORD,MUSTANG MACH-E,2619,4,0.0,0.0,0.0,0.0,2.057655593738068,1.740407490596882,12
FORD,RANGER,13,1,62.92307692307692,58.0,0.0,0.0,24.46153846153846,0.008638906978907776,107
FORD,TRANSIT,269,1,0.0,0.0,0.0,0.0,1.5055762081784387,0.17875892133278398,56
GENESIS,G80,17,1,0.0,0.0,0.0,0.0,1.0,0.011297032203187092,104
GENESIS,GV60,79,1,0.0,0.0,0.0,0.0,1.0,0.05249797317951649,88
GENESIS,GV70,11,1,0.0,0.0,0.0,0.0,1.0,0.007309844366768119,109
HONDA,ACCORD,9,1,13.0,13.0,0.0,0.0,10.0,0.0059807817546284605,110
HONDA,CLARITY,801,3,47.004993757802744,47.0,0.0,0.0,5.627965043695381,0.532289576161933,31
HYUNDAI,IONIQ,213,4,56.690140845070424,29.0,0.0,0.0,4.530516431924883,0.14154516819287355,61
HYUNDAI,IONIQ 5,1638,1,0.0,0.0,0.0,0.0,1.23992673992674,1.0885022793423798,18
HYUNDAI,IONIQ 6,152,1,0.0,0.0,0.0,0.0,1.0,0.10100875852261398,70
HYUNDAI,KONA,208,1,258.0,258.0,0.0,0.0,4.201923076923077,0.13822251166252442,63
HYUNDAI,KONA ELECTRIC,624,4,0.0,0.0,0.0,0.0,1.6810897435897436,0.41466753498757325,37
HYUNDAI,SANTA FE,131,1,30.557251908396946,31.0,0.0,0.0,1.5572519083969465,0.08705360109514759,75
HYUNDAI,SONATA,77,1,27.064935064935064,27.0,0.0,0.0,7.454545454545454,0.05116891056737683,89
HYUNDAI,TUCSON,128,1,33.0,33.0,0.0,0.0,1.3125,0.08506000717693811,77
JAGUAR,I-PACE,228,1,204.23684210526315,234.0,0.0,0.0,4.2894736842105265,0.151513137783921,60
JEEP,GRAND CHEROKEE,663,3,25.0,25.0,0.0,0.0,1.4419306184012066,0.4405842559242966,36
JEEP,WRANGLER,2629,6,21.658805629516927,21.0,0.0,0.0,1.6337010270064662,1.7470528036575803,11
KIA,EV6,1644,1,0.0,0.0,0.0,0.0,1.602189781021898,1.0924894671787988,17
KIA,NIRO,2876,6,80.3981223922114,26.0,0.0,0.0,3.131084840055633,1.9111920362568282,9
KIA,OPTIMA,101,2,28.89108910891089,29.0,0.0,0.0,6.287128712871287,0.06711766191305273,82
KIA,SORENTO,526,2,32.0,32.0,0.0,0.0,1.6482889733840305,0.34954346699273003,43
KIA,SOUL,421,2,93.0,93.0,30280.40380047506,31950.0,8.052256532066508,0.27976767985539797,46
KIA,SOUL EV,229,1,97.59825327510917,93.0,32376.855895196506,32250.0,6.650655021834061,0.15217766908999084,59
KIA,SPORTAGE,401,2,34.0,34.0,0.0,0.0,1.0,0.2664770537340014,48
LAND ROVER,RANGE ROVER,20,2,25.4,19.0,0.0,0.0,3.25,0.013290626121396578,103
LAND ROVER,RANGE ROVER SPORT,27,1,19.0,19.0,0.0,0.0,3.7037037037037037,0.01794234526388538,102
LEXUS,NX,84,1,37.0,37.0,0.0,0.0,1.3095238095238095,0.055820629709865635,86
LEXUS,RZ 450E,54,1,0.0,0.0,0.0,0.0,1.0,0.03588469052777076,96
LINCOLN,AVIATOR,143,2,21.0,21.0,0.0,0.0,2.4265734265734267,0.09502797676798554,72
LINCOLN,CORSAIR,86,1,28.0,28.0,0.0,0.0,1.9186046511627908,0.05714969232200529,85
LUCID,AIR,190,1,0.0,0.0,0.0,0.0,1.5210526315789474,0.12626094815326752,65
MAZDA,CX-90,136,1,26.0,26.0,0.0,0.0,0.0,0.09037625762549674,74
MERCEDES-BENZ,B-CLASS,88,1,87.0,87.0,0.0,0.0,8.613636363636363,0.05847875493414495,84
MERCEDES-BENZ,C-CLASS,16,1,8.375,8.0,0.0,0.0,6.5625,0.010632500897117264,105
MERCEDES-BENZ,EQB-CLASS,164,1,0.0,0.0,0.0,0.0,1.2926829268292683,0.10898313419545194,69
MERCEDES-BENZ,EQE-CLASS SEDAN,72,1,0.0,0.0,0.0,0.0,1.0,0.047846254037027684,90
MERCEDES-BENZ,EQE-CLASS SUV,119,1,0.0,0.0,0.0,0.0,1.0,0.07907922542230965,80
MERCEDES-BENZ,EQS-CLASS SEDAN,171,1,0.0,0.0,0.0,0.0,1.6023391812865497,0.11363485333794074,67
MERCEDES-BENZ,EQS-CLASS SUV,176,1,0.0,0.0,0.0,0.0,1.0,0.1169575098682899,66
MERCEDES-BENZ,GLC-CLASS,192,2,11.90625,10.0,0.0,0.0,4.927083333333333,0.12759001076540716,64
MERCEDES-BENZ,GLE-CLASS,45,1,9.066666666666666,10.0,0.0,0.0,6.777777777777778,0.0299039087731423,98
MERCEDES-BENZ,S-CLASS,11,1,12.909090909090908,12.0,0.0,0.0,7.636363636363637,0.007309844366768119,109
MINI,COUNTRYMAN,212,1,13.367924528301886,12.0,26779.716981132075,36800.0,4.39622641509434,0.14088063688680375,62
MINI,HARDTOP,579,1,23.557858376511227,0.0,0.0,0.0,1.7132987910189983,0.38476362621443094,39
MITSUBISHI,I-MIEV,59,1,61.94915254237288,62.0,0.0,0.0,11.0,0.03920734705811991,94
MITSUBISHI,OUTLANDER,790,2,27.38227848101266,22.0,0.0,0.0,3.4873417721518987,0.5249797317951649,32
NISSAN,ARIYA,310,1,0.0,0.0,0.0,0.0,1.0,0.20600470488164696,53
NISSAN,LEAF,13187,13,86.71661484795632,84.0,0.0,0.0,7.370213088647911,8.763174333142834,3
POLESTAR,PS2,764,2,36.29188481675393,0.0,0.0,0.0,1.781413612565445,0.5077019178373493,34
PORSCHE,918,1,1,12.0,12.0,845000.0,845000.0,9.0,0.000664531306069829,115
PORSCHE,CAYENNE,356,2,14.25561797752809,14.0,4328.3707865168535,0.0,5.390449438202247,0.2365731449608591,49
PORSCHE,PANAMERA,124,1,15.580645161290322,15.0,16358.064516129032,0.0,6.201612903225806,0.0824018819526588,78
PORSCHE,TAYCAN,547,1,74.74040219378428,0.0,0.0,0.0,2.530164533820841,0.3634986244201964,42
RIVIAN,EDV,314,1,0.0,0.0,0.0,0.0,1.7038216560509554,0.20866283010592632,52
RIVIAN,R1S,812,1,0.0,0.0,0.0,0.0,1.2032019704433496,0.5395994205287011,29
