State,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range,Avg_MSRP,Avg_Vehicle_Age,Market_Share_%,State_Rank
AK,1,1,1,0.0,0.0,0.0,3.0,0.000664531306069829,17
AL,3,2,3,73.33333333333333,0.0,0.0,2.6666666666666665,0.001993593918209487,15
AP,1,1,1,75.0,75.0,0.0,11.0,0.000664531306069829,17
AR,2,2,2,236.0,236.0,0.0,4.5,0.001329062612139658,16
AZ,11,8,10,36.81818181818182,22.0,0.0,4.181818181818182,0.007309844366768119,8
BC,2,1,2,220.0,220.0,49475.0,10.5,0.001329062612139658,16
CA,92,16,28,69.19565217391305,22.0,1998.9130434782608,4.826086956521739,0.06113688015842426,2
CO,11,6,10,90.72727272727273,32.0,0.0,4.0,0.007309844366768119,8
CT,7,6,6,74.42857142857143,38.0,0.0,6.285714285714286,0.004651719142488802,11
DC,5,2,4,152.8,151.0,0.0,3.4,0.0033226565303491446,13
DE,1,1,1,0.0,0.0,0.0,2.0,0.000664531306069829,17
FL,9,4,6,123.44444444444444,42.0,0.0,5.0,0.0059807817546284605,9
GA,5,4,4,116.8,84.0,0.0,6.6,0.0033226565303491446,13
HI,8,4,5,125.625,116.5,0.0,5.375,0.005316250448558632,10
ID,2,2,2,0.0,0.0,0.0,2.0,0.001329062612139658,16
IL,12,6,7,94.25,30.5,3332.9166666666665,4.5,0.007974375672837947,7
IN,2,2,2,115.5,115.5,0.0,5.0,0.001329062612139658,16
KS,2,2,2,7.0,7.0,0.0,5.0,0.001329062612139658,16
KY,3,3,3,11.0,0.0,0.0,4.0,0.001993593918209487,15
LA,3,2,2,0.0,0.0,0.0,1.6666666666666667,0.001993593918209487,15
MA,3,2,3,17.666666666666668,0.0,0.0,3.3333333333333335,0.001993593918209487,15
MD,33,14,20,57.36363636363637,30.0,3090.909090909091,4.333333333333333,0.021929533100304356,4
MN,1,1,1,220.0,220.0,0.0,5.0,0.000664531306069829,17
MO,4,2,3,157.25,153.5,0.0,4.0,0.002658125224279316,14
MS,1,1,1,0.0,0.0,0.0,3.0,0.000664531306069829,17
MT,1,1,1,22.0,22.0,0.0,2.0,0.000664531306069829,17
NC,13,4,6,40.69230769230769,0.0,0.0,3.8461538461538463,0.008638906978907776,6
NE,3,3,3,85.0,33.0,0.0,4.0,0.001993593918209487,15
NH,1,1,1,308.0,308.0,0.0,4.0,0.000664531306069829,17
NJ,9,5,8,82.77777777777777,29.0,7766.666666666667,5.777777777777778,0.0059807817546284605,9
NV,6,3,5,93.0,28.5,0.0,6.166666666666667,0.003987187836418974,12
NY,7,4,6,81.28571428571429,42.0,4564.285714285715,5.428571428571429,0.004651719142488802,11
OH,2,2,2,0.0,0.0,0.0,2.0,0.001329062612139658,16
OR,8,6,8,43.375,18.0,11337.5,4.125,0.005316250448558632,10
PA,2,1,1,0.0,0.0,0.0,1.5,0.001329062612139658,16
SC,6,4,5,17.333333333333332,9.5,0.0,4.166666666666667,0.003987187836418974,12
TX,20,8,12,80.35,23.0,1749.75,4.8,0.013290626121396578,5
UT,2,2,2,132.0,132.0,0.0,6.0,0.001329062612139658,16
VA,35,10,18,73.11428571428571,32.0,0.0,5.142857142857143,0.023258595712444013,3
WA,150141,37,127,67.86313531946637,18.0,1311.2808293537407,3.9930065738206086,99.77339482463019,1
WY,2,2,2,161.0,161.0,0.0,3.0,0.001329062612139658,16
