State,City,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range,Avg_MSRP,State_Share_%
AK,Eagle River,1,1,1,0.0,0.0,0.0,100.0
AL,Mobile,1,1,1,0.0,0.0,0.0,33.33333333333333
AL,Pelham,1,1,1,0.0,0.0,0.0,33.33333333333333
AL,Smiths Station,1,1,1,220.0,220.0,0.0,33.33333333333333
AP,Seattle,1,1,1,75.0,75.0,0.0,100.0
AR,Little Rock,2,2,2,236.0,236.0,0.0,100.0
AZ,Anthem,1,1,1,0.0,0.0,0.0,9.090909090909092
AZ,Chandler,1,1,1,0.0,0.0,0.0,9.090909090909092
AZ,Goodyear,1,1,1,41.0,41.0,0.0,9.090909090909092
AZ,Mesa,1,1,1,0.0,0.0,0.0,9.090909090909092
AZ,Phoenix,3,2,3,94.33333333333333,75.0,0.0,27.27272727272727
AZ,Scottsdale,1,1,1,9.0,9.0,0.0,9.090909090909092
AZ,Sedona,1,1,1,25.0,25.0,0.0,9.090909090909092
AZ,Tempe,2,2,2,23.5,23.5,0.0,18.181818181818183
BC,Seattle,2,1,2,220.0,220.0,49475.0,100.0
CA,Alameda,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,Alhambra,1,1,1,210.0,210.0,0.0,1.0869565217391304
CA,Apple Valley,1,1,1,19.0,19.0,0.0,1.0869565217391304
CA,Benicia,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,Berkeley,2,1,1,110.0,110.0,0.0,2.1739130434782608
CA,Buena Park,3,2,2,6.333333333333333,0.0,0.0,3.260869565217391
CA,Camarillo,1,1,1,32.0,32.0,0.0,1.0869565217391304
CA,Chula Vista,4,1,2,66.5,0.0,0.0,4.3478260869565215
CA,Coronado,1,1,1,19.0,19.0,0.0,1.0869565217391304
CA,Cupertino,2,1,1,215.0,215.0,0.0,2.1739130434782608
CA,Fort Irwin,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,Fremont,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,Gardena,1,1,1,19.0,19.0,0.0,1.0869565217391304
CA,Huntington Beach,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,Indio,1,1,1,208.0,208.0,69900.0,1.0869565217391304
CA,Irvine,2,2,2,12.5,12.5,0.0,2.1739130434782608
CA,Lakewood,1,1,1,6.0,6.0,0.0,1.0869565217391304
CA,Lemoore,4,3,3,56.25,58.0,0.0,4.3478260869565215
CA,Lompoc,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,Long Beach,1,1,1,38.0,38.0,0.0,1.0869565217391304
CA,Los Angeles,3,2,3,75.66666666666667,19.0,23300.0,3.260869565217391
CA,Menifee,2,1,2,0.0,0.0,0.0,2.1739130434782608
CA,Monterey,1,1,1,42.0,42.0,0.0,1.0869565217391304
CA,Moraga,1,1,1,42.0,42.0,0.0,1.0869565217391304
CA,Mountain View,1,1,1,30.0,30.0,0.0,1.0869565217391304
CA,Napa,1,1,1,16.0,16.0,0.0,1.0869565217391304
CA,Newport Beach,1,1,1,215.0,215.0,0.0,1.0869565217391304
CA,Oceanside,4,3,4,124.75,126.0,0.0,4.3478260869565215
CA,Palo Alto,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,Pittsburg,2,2,2,10.0,10.0,22050.0,2.1739130434782608
CA,Port Hueneme,1,1,1,32.0,32.0,0.0,1.0869565217391304
CA,Ridgecrest,1,1,1,19.0,19.0,0.0,1.0869565217391304
CA,Rosamond,1,1,1,100.0,100.0,0.0,1.0869565217391304
CA,Roseville,1,1,1,220.0,220.0,0.0,1.0869565217391304
CA,Sacramento,4,1,2,147.0,133.0,0.0,4.3478260869565215
CA,San Clemente,1,1,1,0.0,0.0,0.0,1.0869565217391304
CA,San Diego,14,5,9,93.78571428571429,36.5,0.0,15.217391304347828
CA,San Jose,5,3,4,78.4,42.0,0.0,5.434782608695652
CA,San Rafael,1,1,1,26.0,26.0,0.0,1.0869565217391304
CA,Santa Ana,1,1,1,215.0,215.0,0.0,1.0869565217391304
CA,Santa Clara,2,1,1,0.0,0.0,0.0,2.1739130434782608
CA,Santa Cruz,1,1,1,215.0,215.0,0.0,1.0869565217391304
CA,Santa Rosa,1,1,1,47.0,47.0,0.0,1.0869565217391304
