State,County,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range
AK,Anchorage,1,1,1,0.0,0.0
AL,Lee,1,1,1,220.0,220.0
AL,Mobile,1,1,1,0.0,0.0
AL,Shelby,1,1,1,0.0,0.0
AP,King,1,1,1,75.0,75.0
AR,Pulaski,2,2,2,236.0,236.0
AZ,Maricopa,10,7,9,38.0,15.5
AZ,Yavapai,1,1,1,25.0,25.0
BC,King,2,1,2,220.0,220.0
CA,Alameda,4,2,2,55.0,0.0
CA,Contra Costa,3,2,3,20.666666666666668,14.0
CA,Kern,2,1,2,59.5,59.5
CA,Kings,4,3,3,56.25,58.0
CA,Los Angeles,7,5,6,71.42857142857143,19.0
CA,Marin,1,1,1,26.0,26.0
CA,Monterey,2,2,2,21.0,21.0
CA,Napa,1,1,1,16.0,16.0
CA,Orange,8,5,6,59.25,9.5
CA,Placer,1,1,1,220.0,220.0
CA,Riverside,4,1,3,105.75,104.0
CA,Sacramento,4,1,2,147.0,133.0
CA,San Bernardino,3,3,3,6.333333333333333,0.0
CA,San Diego,24,7,12,87.375,33.5
CA,San Joaquin,1,1,1,32.0,32.0
CA,Santa Barbara,1,1,1,0.0,0.0
CA,Santa Clara,11,5,6,77.45454545454545,30.0
CA,Santa Cruz,1,1,1,215.0,215.0
CA,Solano,5,3,4,0.0,0.0
CA,Sonoma,2,2,2,86.0,86.0
CA,Ventura,3,2,2,21.333333333333332,32.0
CO,Adams,1,1,1,0.0,0.0
CO,Arapahoe,2,1,2,11.0,11.0
CO,Boulder,2,2,2,158.5,158.5
CO,El Paso,4,3,4,111.0,57.0
CO,Larimer,1,1,1,215.0,215.0
CO,Las Animas,1,1,1,0.0,0.0
CT,New Haven,2,2,2,26.0,26.0
CT,New London,5,4,4,93.8,38.0
DC,District of Columbia,5,2,4,152.8,151.0
DE,Kent,1,1,1,0.0,0.0
FL,Broward,1,1,1,291.0,291.0
FL,Collier,1,1,1,200.0,200.0
FL,Escambia,1,1,1,29.0,29.0
FL,Hillsborough,2,2,2,40.0,40.0
FL,Miami-Dade,1,1,1,291.0,291.0
FL,Orange,1,1,1,0.0,0.0
FL,Palm Beach,1,1,1,0.0,0.0
FL,Sarasota,1,1,1,220.0,220.0
GA,DeKalb,1,1,1,84.0,84.0
GA,Gwinnett,1,1,1,266.0,266.0
GA,Houston,1,1,1,215.0,215.0
GA,Richmond,1,1,1,19.0,19.0
GA,Rockdale,1,1,1,0.0,0.0
HI,Hawaii,1,1,1,208.0,208.0
HI,Honolulu,5,4,4,112.0,25.0
HI,Kauai,1,1,1,22.0,22.0
HI,Maui,1,1,1,215.0,215.0
ID,Elmore,1,1,1,0.0,0.0
ID,Kootenai,1,1,1,0.0,0.0
