Make,Vehicle_Count,Model_Count,State_Count,Avg_Range,Median_Range,Avg_MSRP,Median_MSRP,Avg_Vehicle_Age,Median_Vehicle_Age,CAFV_Eligible_Count,Market_Share_%,CAFV_Rate_%,Volume_Rank,Range_Rank,Portfolio_Diversity,Geographic_Presence_%,Volume_Score,Range_Score,Portfolio_Score,Geographic_Score,Overall_Analytical_Score,Overall_Rank,Market_Segment
ALFA ROMEO,12,1,1,33.0,33.0,0.0,0.0,0.0,0.0,12,0.007974375672837947,100.0,33,10,9.090909090909092,2.4390243902439024,0.014496745480639596,14.102564102564102,0.0,0.0,3.5314397238332815,32,Lower Volume / High Range
AUDI,3006,11,6,53.51729873586161,16.0,0.0,0.0,3.5169660678642716,3.0,1994,1.9975811060459057,66.33399866932801,12,20,100.0,14.634146341463413,4.354822342384135,6.837606837606838,100.0,14.705882352941178,25.65721299929654,4,High Volume / Lower Range
AZURE DYNAMICS,9,1,1,56.0,56.0,0.0,0.0,12.555555555555555,13.0,9,0.0059807817546284605,100.0,34,6,9.090909090909092,2.4390243902439024,0.010147721836447719,23.931623931623932,0.0,0.0,5.9869650716405625,24,Lower Volume / High Range
BENTLEY,2,2,1,19.0,19.0,0.0,0.0,2.5,2.5,2,0.001329062612139658,100.0,37,18,18.181818181818183,2.4390243902439024,0.0,8.11965811965812,10.0,0.0,4.02991452991453,30,Lower Volume / Lower Range
BMW,6439,11,11,38.16337940674018,30.0,4154.123311073148,0.0,4.297717036806958,3.0,5200,4.2789170797836285,80.75788165864265,5,13,100.0,26.82926829268293,9.33155506588771,12.82051282051282,100.0,29.411764705882355,31.34951493736564,2,High Volume / High Range
CADILLAC,176,3,2,19.079545454545453,31.0,6400.142045454545,0.0,4.954545454545454,6.0,92,0.1169575098682899,52.27272727272727,27,12,27.27272727272727,4.878048780487805,0.25224337136312897,13.247863247863249,20.0,2.941176470588235,7.854039631099299,21,Lower Volume / High Range
CHEVROLET,12026,5,14,95.26767004822884,53.0,0.0,0.0,5.812489605853983,6.0,8849,7.991653486795763,73.5822384832862,3,7,45.45454545454545,34.146341463414636,17.43088676592105,22.64957264957265,40.0,38.23529411764706,26.37004198640864,3,High Volume / High Range
CHRYSLER,2642,1,11,32.24299772899319,32.0,1771.163890991673,0.0,3.278198334595004,3.0,2642,1.755691710636488,100.0,13,11,9.090909090909092,26.82926829268293,3.8271408068888535,13.675213675213676,0.0,29.411764705882355,9.361424447441314,17,High Volume / High Range
FIAT,806,1,1,85.62655086848635,87.0,0.0,0.0,8.531017369727047,9.0,806,0.5356122326922822,100.0,19,3,9.090909090909092,2.4390243902439024,1.1655383366434235,37.17948717948718,0.0,0.0,9.761087129529166,16,High Volume / High Range
FISKER,17,1,2,33.0,33.0,102000.0,102000.0,12.0,12.0,17,0.011297032203187092,100.0,32,10,9.090909090909092,4.878048780487805,0.021745118220959394,14.102564102564102,0.0,2.941176470588235,3.9755155435176444,31,Lower Volume / High Range
FORD,7614,8,12,13.023903335960073,19.0,0.0,0.0,5.098634095087996,3.0,3958,5.059741364415678,51.98318886262149,4,18,72.72727272727273,29.268292682926827,11.034922659862861,8.11965811965812,70.0,32.35294117647059,25.29682477033026,5,High Volume / Lower Range
GENESIS,107,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0711048497494717,0.0,30,22,27.27272727272727,2.4390243902439024,0.15221582754671575,0.0,20.0,0.0,4.060886331018686,29,Lower Volume / Lower Range
HONDA,810,2,3,46.62716049382716,47.0,0.0,0.0,5.676543209876543,6.0,810,0.5382703579165615,100.0,18,8,18.181818181818183,7.317073170731707,1.1713370348356793,20.085470085470085,10.0,5.88235294117647,8.372255276478263,20,High Volume / High Range
HYUNDAI,3171,8,6,23.982970671712394,0.0,0.0,0.0,1.8975086723431094,1.0,747,2.1072287715474274,23.55723746452223,11,22,72.72727272727273,14.634146341463413,4.594018642814688,0.0,70.0,14.705882352941178,18.04348981006705,12,High Volume / Lower Range
JAGUAR,228,1,1,204.23684210526315,234.0,0.0,0.0,4.2894736842105265,5.0,199,0.151513137783921,87.28070175438597,25,1,9.090909090909092,2.4390243902439024,0.3276264478624549,100.0,0.0,0.0,25.131050579144983,6,Lower Volume / High Range
JEEP,3292,2,8,22.331713244228432,21.0,0.0,0.0,1.595078979343864,1.0,3292,2.187637059581877,100.0,10,17,18.181818181818183,19.51219512195122,4.769429263130427,8.974358974358974,10.0,20.588235294117645,9.239596742959561,18,High Volume / Lower Range
KIA,6198,7,9,52.61568247821878,26.0,3253.0413036463374,0.0,2.97757341077767,2.0,3545,4.1187650350208,57.19586963536625,6,14,63.63636363636363,21.951219512195124,8.982183499804295,11.11111111111111,60.0,23.52941176470588,21.900062942405377,8,High Volume / High Range
LAND ROVER,47,2,2,21.72340425531915,19.0,0.0,0.0,3.5106382978723403,4.0,47,0.03123297138528196,100.0,31,18,18.181818181818183,4.878048780487805,0.06523535466287819,8.11965811965812,10.0,2.941176470588235,4.4971851423679166,28,Lower Volume / Lower Range
