Make,Vehicle_Count,Market_Share_%,Cumulative_Share_%
TESLA,68983,45.84136308661501,45.84136308661501
NISSAN,13497,8.969179038024482,54.8105421246395
CHEVROLET,12026,7.991653486795763,62.80219561143526
FORD,7614,5.059741364415678,67.86193697585094
BMW,6439,4.2789170797836285,72.14085405563456
KIA,6198,4.1187650350208,76.25961909065536
TOYOTA,5223,3.4708470116027166,79.73046610225808
VOLKSWAGEN,4074,2.7073005409284834,82.43776664318656
VOLVO,3536,2.3497826982629153,84.78754934144948
JEEP,3292,2.187637059581877,86.97518640103135
HYUNDAI,3171,2.1072287715474274,89.08241517257878
AUDI,3006,1.9975811060459057,91.07999627862468
CHRYSLER,2642,1.755691710636488,92.83568798926116
RIVIAN,2483,1.6500312329713853,94.48571922223255
MERCEDES-BENZ,1054,0.7004159965975998,95.18613521883015
PORSCHE,1028,0.6831381826397842,95.86927340146993
MITSUBISHI,849,0.5641870788532848,96.4334604803232
HONDA,810,0.5382703579165615,96.97173083823976
FIAT,806,0.5356122326922822,97.50734307093205
MINI,791,0.5256442631012347,98.03298733403328
POLESTAR,764,0.5077019178373493,98.54068925187063
SUBARU,623,0.4140030036815034,98.95469225555213
SMART,274,0.18208157786313311,99.13677383341526
LINCOLN,229,0.15217766908999084,99.28895150250526
JAGUAR,228,0.151513137783921,99.44046464028918
LUCID,190,0.12626094815326752,99.56672558844245
CADILLAC,176,0.1169575098682899,99.68368309831074
LEXUS,138,0.09170532023763639,99.77538841854837
MAZDA,136,0.09037625762549674,99.86576467617387
GENESIS,107,0.0711048497494717,99.93686952592334
LAND ROVER,47,0.03123297138528196,99.96810249730862
FISKER,17,0.011297032203187092,99.97939952951181
ALFA ROMEO,12,0.007974375672837947,99.98737390518465
AZURE DYNAMICS,9,0.0059807817546284605,99.99335468693928
TH!NK,5,0.0033226565303491446,99.99667734346963
WHEEGO ELECTRIC CARS,3,0.001993593918209487,99.99867093738784
BENTLEY,2,0.001329062612139658,99.99999999999999
