State,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range,Avg_MSRP,Median_MSRP,Avg_Vehicle_Age,CAFV_Eligible_Count,Market_Share_%,CAFV_Rate_%,Volume_Rank,Manufacturer_Diversity_Score,Model_Diversity_Score,State_Analytical_Score,State_Analytical_Rank
AK,1,1,1,0.0,0.0,0.0,0.0,3.0,0,0.000664531306069829,0.0,17,0.0,0.0,0.0,27
AL,3,2,3,73.33333333333333,0.0,0.0,0.0,2.6666666666666665,1,0.001993593918209487,33.33333333333333,15,2.7777777777777777,1.5873015873015872,1.0919358862944848,22
AP,1,1,1,75.0,75.0,0.0,0.0,11.0,1,0.000664531306069829,100.0,17,0.0,0.0,0.0,27
AR,2,2,2,236.0,236.0,0.0,0.0,4.5,2,0.001329062612139658,100.0,16,2.7777777777777777,0.7936507936507936,0.8931901653694646,24
AZ,11,8,10,36.81818181818182,22.0,0.0,0.0,4.181818181818182,7,0.007309844366768119,63.63636363636363,8,19.444444444444446,7.142857142857142,6.650155621948615,6
BC,2,1,2,220.0,220.0,49475.0,49475.0,10.5,2,0.001329062612139658,100.0,16,0.0,0.7936507936507936,0.19874572092502024,25
CA,92,16,28,69.19565217391305,22.0,1998.9130434782608,0.0,4.826086956521739,59,0.06113688015842426,64.13043478260869,2,41.66666666666667,21.428571428571427,15.804114572430812,2
CO,11,6,10,90.72727272727273,32.0,0.0,0.0,4.0,7,0.007309844366768119,63.63636363636363,8,13.88888888888889,7.142857142857142,5.261266733059726,7
CT,7,6,6,74.42857142857143,38.0,0.0,0.0,6.285714285714286,7,0.004651719142488802,100.0,11,13.88888888888889,3.968253968253968,4.4662838493596455,10
DC,5,2,4,152.8,151.0,0.0,0.0,3.4,3,0.0033226565303491446,60.0,13,2.7777777777777777,2.380952380952381,1.291014629731827,20
DE,1,1,1,0.0,0.0,0.0,0.0,2.0,0,0.000664531306069829,0.0,17,0.0,0.0,0.0,27
FL,9,4,6,123.44444444444444,42.0,0.0,0.0,5.0,7,0.0059807817546284605,77.77777777777779,9,8.333333333333332,3.968253968253968,3.0780610054953996,13
GA,5,4,4,116.8,84.0,0.0,0.0,6.6,4,0.0033226565303491446,80.0,13,8.333333333333332,2.380952380952381,2.6799035186207156,17
HI,8,4,5,125.625,116.5,0.0,0.0,5.375,8,0.005316250448558632,100.0,10,8.333333333333332,3.1746031746031744,2.8793152845703793,15
ID,2,2,2,0.0,0.0,0.0,0.0,2.0,0,0.001329062612139658,0.0,16,2.7777777777777777,0.7936507936507936,0.8931901653694646,24
IL,12,6,7,94.25,30.5,3332.9166666666665,0.0,4.5,8,0.007974375672837947,66.66666666666666,7,13.88888888888889,4.761904761904762,4.666361660333953,9
IN,2,2,2,115.5,115.5,0.0,0.0,5.0,2,0.001329062612139658,100.0,16,2.7777777777777777,0.7936507936507936,0.8931901653694646,24
KS,2,2,2,7.0,7.0,0.0,0.0,5.0,1,0.001329062612139658,50.0,16,2.7777777777777777,0.7936507936507936,0.8931901653694646,24
KY,3,3,3,11.0,0.0,0.0,0.0,4.0,1,0.001993593918209487,33.33333333333333,15,5.555555555555555,1.5873015873015872,1.7863803307389292,19
LA,3,2,2,0.0,0.0,0.0,0.0,1.6666666666666667,0,0.001993593918209487,0.0,15,2.7777777777777777,0.7936507936507936,0.8935231878817864,23
MA,3,2,3,17.666666666666668,0.0,0.0,0.0,3.3333333333333335,1,0.001993593918209487,33.33333333333333,15,2.7777777777777777,1.5873015873015872,1.0919358862944848,22
MD,33,14,20,57.36363636363637,30.0,3090.909090909091,0.0,4.333333333333333,22,0.021929533100304356,66.66666666666666,4,36.11111111111111,15.079365079365079,12.808275768013345,3
MN,1,1,1,220.0,220.0,0.0,0.0,5.0,1,0.000664531306069829,100.0,17,0.0,0.0,0.0,27
MO,4,2,3,157.25,153.5,0.0,0.0,4.0,3,0.002658125224279316,75.0,14,2.7777777777777777,1.5873015873015872,1.0922689088068067,21
MS,1,1,1,0.0,0.0,0.0,0.0,3.0,0,0.000664531306069829,0.0,17,0.0,0.0,0.0,27
MT,1,1,1,22.0,22.0,0.0,0.0,2.0,1,0.000664531306069829,100.0,17,0.0,0.0,0.0,27
NC,13,4,6,40.69230769230769,0.0,0.0,0.0,3.8461538461538463,6,0.008638906978907776,46.15384615384615,6,8.333333333333332,3.968253968253968,3.0793930955446873,12
NE,3,3,3,85.0,33.0,0.0,0.0,4.0,2,0.001993593918209487,66.66666666666666,15,5.555555555555555,1.5873015873015872,1.7863803307389292,19
NH,1,1,1,308.0,308.0,0.0,0.0,4.0,1,0.000664531306069829,100.0,17,0.0,0.0,0.0,27
NJ,9,5,8,82.77777777777777,29.0,7766.666666666667,0.0,5.777777777777778,7,0.0059807817546284605,77.77777777777779,9,11.11111111111111,5.555555555555555,4.1693308467652415,11
NV,6,3,5,93.0,28.5,0.0,0.0,6.166666666666667,4,0.003987187836418974,66.66666666666666,12,5.555555555555555,3.1746031746031744,2.1842047951012917,18
NY,7,4,6,81.28571428571429,42.0,4564.285714285715,0.0,5.428571428571429,5,0.004651719142488802,71.42857142857143,11,8.333333333333332,3.968253968253968,3.0773949604707562,14
