Electric_Utility,Vehicle_Count,State_Count,Manufacturer_Count,Model_Count
PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),55637,3,35,122
PUGET SOUND ENERGY INC,29865,1,36,121
CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),27268,1,34,118
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),8643,1,33,109
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,6622,1,33,111
PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,3443,1,33,102
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,2244,1,30,93
BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,1341,1,30,84
PACIFICORP,1102,1,31,86
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,1048,1,28,81
MODERN ELECTRIC WATER COMPANY,917,1,29,79
PUD NO 1 OF CHELAN COUNTY,863,1,28,68
BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,854,1,25,70
BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,840,1,26,76
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,762,1,28,71
BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),752,1,26,77
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,731,1,27,70
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,615,1,27,74
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,518,1,25,61
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,479,1,24,60
PUD NO 2 OF GRANT COUNTY,452,1,22,58
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,385,1,22,56
NON WASHINGTON STATE ELECTRIC UTILITY,338,38,24,52
AVISTA CORP,323,1,22,51
BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,307,1,21,51
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,294,1,25,51
PUD NO 1 OF DOUGLAS COUNTY,293,1,22,48
BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,276,1,25,48
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,239,1,22,43
NO KNOWN ELECTRIC UTILITY SERVICE,209,1,24,49
BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),203,1,19,43
CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,202,1,22,47
BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),185,1,19,37
CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,179,1,21,46
BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,177,1,20,44
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,164,1,19,39
BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,153,1,16,43
BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA),152,1,17,30
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,130,1,17,38
"OKANOGAN COUNTY ELEC COOP, INC",120,1,21,34
BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),104,1,20,35
"BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||OHOP MUTUAL LIGHT COMPANY, INC|PENINSULA LIGHT COMPANY",99,1,15,32
PUD NO 1 OF OKANOGAN COUNTY,89,1,18,30
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PARKLAND LIGHT & WATER COMPANY|PENINSULA LIGHT COMPANY,89,1,14,31
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,87,1,19,33
BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,85,1,12,24
BONNEVILLE POWER ADMINISTRATION||CITY OF MILTON - (WA)|CITY OF TACOMA - (WA),68,1,13,22
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||PUD NO 1 OF ASOTIN COUNTY,60,1,16,27
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF WAHKIAKUM COUNTY,49,1,13,23
PUD NO 1 OF PEND OREILLE COUNTY,47,1,13,23
BONNEVILLE POWER ADMINISTRATION||TOWN OF RUSTON - (WA)|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,41,1,11,20
PUD NO 1 OF WHATCOM COUNTY,41,1,12,22
"BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||BIG BEND ELECTRIC COOP, INC",37,1,8,15
CITY OF CHENEY - (WA),36,1,12,22
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||BENTON RURAL ELECTRIC ASSN|PENINSULA LIGHT COMPANY,33,1,12,21
"BONNEVILLE POWER ADMINISTRATION||BIG BEND ELECTRIC COOP, INC",30,1,8,15
BONNEVILLE POWER ADMINISTRATION||TOWN OF EATONVILLE - (WA)|CITY OF TACOMA - (WA),25,1,11,16
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF MASON COUNTY|PUD NO 1 OF JEFFERSON COUNTY,20,1,6,9
CITY OF TACOMA - (WA),18,1,7,13
