State,County,City,Vehicle_Count,Model_Count
WA,King,Seattle,5836,118
WA,King,Bellevue,2677,108
WA,Clark,Vancouver,2587,101
WA,King,Redmond,2122,100
WA,King,Kirkland,2100,103
WA,Thurston,Olympia,1971,93
WA,Pierce,Tacoma,1854,97
WA,King,Renton,1834,97
WA,King,Sammamish,1806,99
WA,Snohomish,Bothell,1597,98
WA,Whatcom,Bellingham,1560,96
WA,Spokane,Spokane,1459,94
WA,King,Mercer Island,1307,93
WA,King,Issaquah,1270,96
WA,King,Kent,1235,92
WA,Snohomish,Everett,1228,87
WA,King,Woodinville,1164,93
WA,Pierce,Gig Harbor,1149,89
WA,Kitsap,Bainbridge Island,1141,89
WA,Snohomish,Lynnwood,1133,84
WA,Snohomish,Snohomish,1118,89
WA,King,Shoreline,1083,87
WA,Snohomish,Edmonds,1083,90
WA,Clark,Camas,962,89
WA,King,Auburn,962,82
WA,King,Federal Way,832,84
WA,Kitsap,Bremerton,818,81
WA,Pierce,Puyallup,798,79
WA,King,Maple Valley,796,78
WA,Snohomish,Lake Stevens,751,82
WA,Kitsap,Port Orchard,712,74
WA,Snohomish,Marysville,695,73
WA,King,Bothell,691,76
WA,King,Kenmore,653,77
WA,Clark,Ridgefield,646,77
WA,Thurston,Lacey,631,71
WA,Benton,Richland,605,77
WA,Pierce,Bonney Lake,595,73
WA,Benton,Kennewick,592,74
WA,King,Burien,580,69
WA,King,Snoqualmie,522,66
WA,King,Newcastle,520,61
WA,Skagit,Anacortes,510,74
WA,Kitsap,Poulsbo,506,68
WA,Snohomish,Monroe,504,71
WA,Pierce,Lakewood,498,76
WA,Pierce,University Place,497,76
WA,King,Lake Forest Park,493,66
WA,Jefferson,Port Townsend,489,61
WA,King,North Bend,485,68
WA,Snohomish,Mukilteo,484,71
WA,King,Vashon,482,68
WA,King,Tukwila,472,54
WA,Skagit,Mount Vernon,464,63
WA,Clallam,Sequim,459,64
WA,Spokane,Spokane Valley,455,62
WA,Yakima,Yakima,447,66
WA,Thurston,Tumwater,446,53
WA,Snohomish,Mill Creek,430,70
WA,Snohomish,Arlington,419,63
WA,King,Seatac,418,55
WA,King,Duvall,417,59
WA,Clark,Battle Ground,414,62
WA,Franklin,Pasco,411,60
WA,Pierce,South Hill,405,60
WA,Clark,Washougal,389,69
WA,King,Covington,373,61
