State,County,City,Postal_Code,Vehicle_Location,Census_Tract
WA,King,Seattle,98103.0,POINT (-122.34301 47.659185),53033004800.0
WA,King,Bothell,98011.0,POINT (-122.20578 47.762405),53033021804.0
WA,Yakima,Yakima,98908.0,POINT (-120.6027202 46.5965625),53077002900.0
WA,King,Kirkland,98034.0,POINT (-122.209285 47.71124),53033021903.0
WA,Thurston,Olympia,98501.0,POINT (-122.89692 47.043535),53067010700.0
WA,Snohomish,Marysville,98271.0,POINT (-122.1713847 48.10433),53061940001.0
WA,King,Kent,98042.0,POINT (-122.111625 47.36078),53033031707.0
WA,King,Woodinville,98072.0,POINT (-122.151665 47.75855),53033021906.0
WA,Island,Coupeville,98239.0,POINT (-122.6880708 48.2179983),53029971000.0
WA,King,Bellevue,98004.0,POINT (-122.201905 47.61385),53033023806.0
WA,King,Kirkland,98033.0,POINT (-122.20264 47.6785),53033022603.0
WA,Kitsap,Port Orchard,98367.0,POINT (-122.6851642 47.506453),53035092902.0
WA,Kitsap,Port Orchard,98366.0,POINT (-122.639265 47.5373),53035092600.0
WA,Snohomish,Mukilteo,98275.0,POINT (-122.299965 47.94171),53061041301.0
WA,King,Redmond,98052.0,POINT (-122.12302 47.67668),53033032323.0
WA,Thurston,Rochester,98579.0,POINT (-123.09573 46.82158),53067012730.0
WA,King,Seattle,98112.0,POINT (-122.306935 47.62441),53033006400.0
WA,King,Seattle,98125.0,POINT (-122.296385 47.71558),53033000201.0
WA,Kitsap,Bremerton,98311.0,POINT (-122.6468815 47.6344364),53035091204.0
WA,Kitsap,Poulsbo,98370.0,POINT (-122.64177 47.737525),53035091100.0
WA,King,Kent,98042.0,POINT (-122.111625 47.36078),53033031708.0
WA,Snohomish,Marysville,98271.0,POINT (-122.1713847 48.10433),53061052808.0
WA,Kitsap,Bremerton,98312.0,POINT (-122.65223 47.57192),53035080700.0
WA,King,Seattle,98108.0,POINT (-122.326965 47.55015),53033010001.0
WA,Snohomish,Lake Stevens,98258.0,POINT (-122.112265 48.0047),53061052607.0
WA,Kitsap,Silverdale,98383.0,POINT (-122.668076 47.665978),53035091302.0
WA,King,Kirkland,98033.0,POINT (-122.20264 47.6785),53033022401.0
WA,Kitsap,Kingston,98346.0,POINT (-122.50156 47.8019),53035090102.0
WA,King,Kirkland,98033.0,POINT (-122.20264 47.6785),53033022006.0
WA,Thurston,Olympia,98506.0,POINT (-122.8874781 47.0519573),53067010200.0
WA,Yakima,Yakima,98908.0,POINT (-120.6027202 46.5965625),53077002801.0
WA,King,Enumclaw,98022.0,POINT (-121.98953 47.20347),53033031400.0
WA,King,Seattle,98109.0,POINT (-122.34848 47.632405),53033007301.0
WA,King,Bellevue,98006.0,POINT (-122.16937 47.571015),53033024704.0
