Make,Vehicle_Count,Model_Count,Avg_Range,Median_Range,Avg_MSRP,Market_Share_Pct
TESLA,1303,5,90.2969427250192,0.0,1648.601829436238,13.674047644034001
VOLVO,943,7,15.633484162895927,18.0,4785.930429864254,9.89610662189107
FORD,814,8,13.023903335960073,19.0,0.0,8.542344422289853
AUDI,779,11,53.51729873586161,16.0,0.0,8.175044600692623
CHEVROLET,738,5,95.26767004822884,53.0,0.0,7.74477909539301
BMW,724,11,38.16337940674018,30.0,4154.123311073148,7.597859166754119
HYUNDAI,524,8,23.982970671712394,0.0,0.0,5.499003043341379
KIA,522,7,52.61568247821878,26.0,3253.0413036463374,5.478014482107252
PORSCHE,375,4,46.59727626459144,14.0,4294.066147859922,3.9353552313988875
NISSAN,365,2,84.7249018300363,84.0,0.0,3.8304124252282508
VOLKSWAGEN,327,2,28.33406971035837,0.0,0.0,3.43162976177983
MERCEDES-BENZ,300,10,10.081593927893739,0.0,0.0,3.14828418511911
TOYOTA,290,6,26.91805475780203,25.0,0.0,3.043341378948473
CHRYSLER,219,1,32.24299772899319,32.0,1771.163890991673,2.2982474551369503
JEEP,194,2,22.331713244228432,21.0,0.0,2.035890439710358
RIVIAN,108,3,0.0,0.0,0.0,1.1333823066428796
MITSUBISHI,98,2,29.784452296819786,22.0,0.0,1.0284395004722426
MINI,97,2,20.826801517067004,0.0,7177.370417193426,1.017945219855179
CADILLAC,92,3,19.079545454545453,31.0,6400.142045454545,0.9654738167698604
HONDA,86,2,46.62716049382716,47.0,0.0,0.9025081330674781
SMART,81,3,62.37591240875913,58.0,0.0,0.8500367299821598
LINCOLN,78,2,23.62882096069869,21.0,0.0,0.8185538881309686
JAGUAR,76,1,204.23684210526315,234.0,0.0,0.7975653268968412
FIAT,74,1,85.62655086848635,87.0,0.0,0.7765767656627138
POLESTAR,70,1,36.29188481675393,0.0,0.0,0.734599643194459
LEXUS,52,2,22.52173913043478,37.0,0.0,0.5457025920873124
LUCID,50,1,0.0,0.0,0.0,0.524714030853185
GENESIS,35,3,0.0,0.0,0.0,0.3672998215972295
LAND ROVER,31,2,21.72340425531915,19.0,0.0,0.3253226991289747
MAZDA,29,1,26.0,26.0,0.0,0.3043341378948473
SUBARU,22,2,1.7463884430176566,0.0,3594.991974317817,0.2308741735754014
ALFA ROMEO,10,1,33.0,33.0,0.0,0.104942806170637
FISKER,10,1,33.0,33.0,102000.0,0.104942806170637
AZURE DYNAMICS,6,1,56.0,56.0,0.0,0.0629656837023822
TH!NK,3,1,100.0,100.0,0.0,0.0314828418511911
BENTLEY,2,2,19.0,19.0,0.0,0.0209885612341274
WHEEGO ELECTRIC CARS,2,1,100.0,100.0,32995.0,0.0209885612341274
