Make,Model,Vehicle_Count,Avg_Range,Avg_MSRP,Avg_Age
TESLA,MODEL S,505,183.4561818420707,14288.858231507029,6.89396925502562
TESLA,MODEL X,444,155.53930387172468,0.0,4.512710207274149
CHEVROLET,VOLT,444,45.35889570552147,0.0,8.637423312883435
VOLVO,XC90,378,22.278994322789945,4372.141119221411,3.5012165450121655
VOLVO,XC60,317,24.125395152792414,12151.949420442572,2.952581664910432
NISSAN,LEAF,310,86.71661484795632,0.0,7.370213088647911
FORD,MUSTANG MACH-E,296,0.0,0.0,2.057655593738068
KIA,NIRO,274,80.3981223922114,0.0,3.131084840055633
BMW,I3,242,88.9546165884194,0.0,7.649973917579551
VOLKSWAGEN,ID.4,227,0.0,0.0,1.887295765255085
CHRYSLER,PACIFICA,219,32.24299772899319,1771.163890991673,3.278198334595004
CHEVROLET,BOLT EV,210,157.5836385836386,0.0,4.2328623757195185
AUDI,E-TRON,204,122.69662921348315,0.0,3.4167517875383044
TESLA,MODEL 3,189,121.37944350211123,0.0,3.585116749070699
PORSCHE,TAYCAN,174,74.74040219378428,0.0,2.530164533820841
FORD,FUSION,164,20.382176052487697,0.0,7.95188627665391
TESLA,MODEL Y,138,23.257946810750123,0.0,1.9705283839730545
HYUNDAI,IONIQ,131,56.690140845070424,0.0,4.530516431924883
TOYOTA,RAV4 PRIME,125,42.0,0.0,2.2950819672131146
PORSCHE,CAYENNE,124,14.25561797752809,4328.3707865168535,5.390449438202247
AUDI,Q4,109,0.0,0.0,1.282758620689655
BMW,330E,109,17.7096018735363,20011.943793911007,3.9531615925058547
JEEP,WRANGLER,106,21.658805629516927,0.0,1.6337010270064662
AUDI,A3,104,16.0,0.0,7.06794425087108
AUDI,Q5 E,101,19.757723577235772,0.0,2.8764227642276423
VOLKSWAGEN,E-GOLF,100,107.37953488372094,0.0,6.51906976744186
HYUNDAI,KONA ELECTRIC,98,0.0,0.0,1.6810897435897436
HYUNDAI,IONIQ 5,96,0.0,0.0,1.23992673992674
VOLVO,S60,91,28.76271186440678,0.0,2.457627118644068
AUDI,E-TRON SPORTBACK,90,96.44848484848485,0.0,2.757575757575758
JEEP,GRAND CHEROKEE,88,25.0,0.0,1.4419306184012066
BMW,X5,88,26.29497098646035,0.0,3.0425531914893615
BMW,530E,87,15.904411764705882,37963.60294117647,4.573529411764706
KIA,EV6,84,0.0,0.0,1.602189781021898
HONDA,CLARITY,79,47.004993757802744,0.0,5.627965043695381
FORD,TRANSIT,77,0.0,0.0,1.5055762081784387
JAGUAR,I-PACE,76,204.23684210526315,0.0,4.2894736842105265
VOLVO,XC40,76,0.0,0.0,1.8666666666666667
PORSCHE,PANAMERA,76,15.580645161290322,16358.064516129032,6.201612903225806
FIAT,500,74,85.62655086848635,0.0,8.531017369727047
MITSUBISHI,OUTLANDER,73,27.38227848101266,0.0,3.4873417721518987
FORD,ESCAPE,71,37.873111782477345,0.0,2.054380664652568
POLESTAR,PS2,70,36.29188481675393,0.0,1.781413612565445
TOYOTA,PRIUS PRIME,66,25.0,0.0,5.445587653343886
FORD,C-MAX,66,19.176584734799484,0.0,9.121604139715394
FORD,F-150,65,0.0,0.0,1.4322916666666667
FORD,FOCUS,64,79.01255230125523,0.0,9.552301255230125
CHEVROLET,SPARK,61,82.0,0.0,8.903614457831326
LINCOLN,AVIATOR,59,21.0,0.0,2.4265734265734267
MERCEDES-BENZ,EQS-CLASS SEDAN,59,0.0,0.0,1.6023391812865497
AUDI,E-TRON GT,56,0.0,0.0,1.6611570247933884
HYUNDAI,KONA,55,258.0,0.0,4.201923076923077
NISSAN,ARIYA,55,0.0,0.0,1.0
BMW,I4,54,0.0,0.0,1.1514726507713886
MINI,COUNTRYMAN,53,13.367924528301886,26779.716981132075,4.39622641509434
LUCID,AIR,50,0.0,0.0,1.5210526315789474
MERCEDES-BENZ,EQB-CLASS,49,0.0,0.0,1.2926829268292683
BMW,IX,49,0.0,0.0,1.0529531568228105
AUDI,Q8,46,0.0,0.0,0.0
KIA,SOUL EV,46,97.59825327510917,32376.855895196506,6.650655021834061
BMW,I8,44,15.01123595505618,0.0,7.550561797752809
TOYOTA,PRIUS PLUG-IN,44,6.0,0.0,10.98619957537155
MINI,HARDTOP,44,23.557858376511227,0.0,1.7132987910189983
CADILLAC,ELR,43,37.57142857142857,0.0,9.480519480519481
RIVIAN,R1T,43,0.0,0.0,1.6507000736919675
LEXUS,NX,41,37.0,0.0,1.3095238095238095
VOLVO,C40,40,0.0,0.0,1.3665689149560116
MERCEDES-BENZ,B-CLASS,39,87.0,0.0,8.613636363636363
HYUNDAI,SANTA FE,38,30.557251908396946,0.0,1.5572519083969465
HYUNDAI,TUCSON,38,33.0,0.0,1.3125
CADILLAC,LYRIQ,38,0.0,0.0,0.5833333333333334
AUDI,Q5,37,22.607142857142858,0.0,2.0
HYUNDAI,SONATA,37,27.064935064935064,0.0,7.454545454545454
SMART,FORTWO ELECTRIC DRIVE,36,63.76158940397351,0.0,9.821192052980132
RIVIAN,R1S,33,0.0,0.0,1.2032019704433496
KIA,SORENTO,33,32.0,0.0,1.6482889733840305
MERCEDES-BENZ,GLC-CLASS,32,11.90625,0.0,4.927083333333333
KIA,SOUL,32,93.0,30280.40380047506,8.052256532066508
RIVIAN,EDV,32,0.0,0.0,1.7038216560509554
HYUNDAI,IONIQ 6,31,0.0,0.0,1.0
KIA,OPTIMA,31,28.89108910891089,0.0,6.287128712871287
TOYOTA,RAV4,30,102.6,0.0,11.316666666666666
MAZDA,CX-90,29,26.0,0.0,0.0
MERCEDES-BENZ,EQE-CLASS SEDAN,28,0.0,0.0,1.0
TESLA,ROADSTER,27,234.89361702127658,105808.51063829787,14.659574468085106
MERCEDES-BENZ,GLE-CLASS,26,9.066666666666666,0.0,6.777777777777778
MERCEDES-BENZ,EQS-CLASS SUV,26,0.0,0.0,1.0
SMART,EQ FORTWO,25,58.0,0.0,5.857142857142857
MITSUBISHI,I-MIEV,25,61.94915254237288,0.0,11.0
VOLVO,V60,23,32.857142857142854,0.0,1.8214285714285714
CHEVROLET,BOLT EUV,22,0.0,0.0,1.0
BMW,X3,22,17.0,0.0,3.2717770034843205
KIA,SPORTAGE,22,34.0,0.0,1.0
GENESIS,GV60,20,0.0,0.0,1.0
BMW,740E,20,14.0,90471.66666666667,6.033333333333333
SMART,FORTWO,20,62.91044776119403,0.0,7.492537313432836
MERCEDES-BENZ,EQE-CLASS SUV,20,0.0,0.0,1.0
LINCOLN,CORSAIR,19,28.0,0.0,1.9186046511627908
AUDI,RS E-TRON GT,19,0.0,0.0,1.6666666666666667
LAND ROVER,RANGE ROVER SPORT,18,19.0,0.0,3.7037037037037037
VOLVO,S90,18,22.25925925925926,0.0,5.2592592592592595
TOYOTA,BZ4X,14,0.0,0.0,1.0
LAND ROVER,RANGE ROVER,13,25.4,0.0,3.25
TOYOTA,PRIUS,11,39.0,0.0,1.0
SUBARU,CROSSTREK,11,17.0,34995.0,5.0
LEXUS,RZ 450E,11,0.0,0.0,1.0
SUBARU,SOLTERRA,11,0.0,0.0,1.0
CADILLAC,CT6,11,31.0,75095.0,6.2
FORD,RANGER,11,62.92307692307692,0.0,24.46153846153846
MERCEDES-BENZ,C-CLASS,11,8.375,0.0,6.5625
FISKER,KARMA,10,33.0,102000.0,12.0
MERCEDES-BENZ,S-CLASS,10,12.909090909090908,0.0,7.636363636363637
ALFA ROMEO,TONALE,10,33.0,0.0,0.0
AUDI,A7,10,24.0,0.0,3.0
GENESIS,G80,9,0.0,0.0,1.0
BMW,745E,7,16.0,0.0,4.0
HONDA,ACCORD,7,13.0,0.0,10.0
AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,6,56.0,0.0,12.555555555555555
GENESIS,GV70,6,0.0,0.0,1.0
AUDI,A8 E,3,17.0,0.0,4.0
TH!NK,CITY,3,100.0,0.0,13.0
WHEEGO ELECTRIC CARS,WHEEGO,2,100.0,32995.0,14.0
BMW,745LE,2,16.0,0.0,2.0
CHEVROLET,S-10 PICKUP,1,39.0,0.0,27.0
BENTLEY,BENTAYGA,1,17.0,0.0,3.0
BENTLEY,FLYING SPUR,1,21.0,0.0,2.0
PORSCHE,918,1,12.0,845000.0,9.0
