Make,Vehicle_Count,Model_Count,Avg_Range,Median_Range,Avg_MSRP,Avg_Vehicle_Age
TESLA,1303,5,90.2969427250192,0.0,1648.601829436238,3.359392893901396
VOLVO,943,7,15.633484162895927,18.0,4785.930429864254,2.725113122171946
FORD,814,8,13.023903335960073,19.0,0.0,5.098634095087996
AUDI,779,11,53.51729873586161,16.0,0.0,3.5169660678642716
CHEVROLET,738,5,95.26767004822884,53.0,0.0,5.812489605853983
BMW,724,11,38.16337940674018,30.0,4154.123311073148,4.297717036806958
HYUNDAI,524,8,23.982970671712394,0.0,0.0,1.8975086723431094
KIA,522,7,52.61568247821878,26.0,3253.0413036463374,2.97757341077767
PORSCHE,375,4,46.59727626459144,14.0,4294.066147859922,3.969844357976654
NISSAN,365,2,84.7249018300363,84.0,0.0,7.223901607764688
VOLKSWAGEN,327,2,28.33406971035837,0.0,0.0,3.1094747177221405
MERCEDES-BENZ,300,10,10.081593927893739,0.0,0.0,2.8946869070208727
TOYOTA,290,6,26.91805475780203,25.0,0.0,5.448592762780011
CHRYSLER,219,1,32.24299772899319,32.0,1771.163890991673,3.278198334595004
JEEP,194,2,22.331713244228432,21.0,0.0,1.595078979343864
RIVIAN,108,3,0.0,0.0,0.0,1.5110753121224325
MITSUBISHI,98,2,29.784452296819786,22.0,0.0,4.00942285041225
MINI,97,2,20.826801517067004,0.0,7177.370417193426,2.43236409608091
CADILLAC,92,3,19.079545454545453,31.0,6400.142045454545,4.954545454545454
HONDA,86,2,46.62716049382716,47.0,0.0,5.676543209876543
SMART,81,3,62.37591240875913,58.0,0.0,8.441605839416058
LINCOLN,78,2,23.62882096069869,21.0,0.0,2.2358078602620086
JAGUAR,76,1,204.23684210526315,234.0,0.0,4.2894736842105265
FIAT,74,1,85.62655086848635,87.0,0.0,8.531017369727047
POLESTAR,70,1,36.29188481675393,0.0,0.0,1.781413612565445
LEXUS,52,2,22.52173913043478,37.0,0.0,1.1884057971014492
LUCID,50,1,0.0,0.0,0.0,1.5210526315789474
GENESIS,35,3,0.0,0.0,0.0,1.0
LAND ROVER,31,2,21.72340425531915,19.0,0.0,3.5106382978723403
MAZDA,29,1,26.0,26.0,0.0,0.0
SUBARU,22,2,1.7463884430176566,0.0,3594.991974317817,1.4109149277688604
ALFA ROMEO,10,1,33.0,33.0,0.0,0.0
FISKER,10,1,33.0,33.0,102000.0,12.0
AZURE DYNAMICS,6,1,56.0,56.0,0.0,12.555555555555555
TH!NK,3,1,100.0,100.0,0.0,13.0
BENTLEY,2,2,19.0,19.0,0.0,2.5
WHEEGO ELECTRIC CARS,2,1,100.0,100.0,32995.0,14.0
