State,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Avg_MSRP,Market_Share_Pct
WA,9522,37,127,67.86313531946637,1311.2808293537407,96.59160073037127
CA,88,16,28,69.19565217391305,1998.9130434782608,0.8926759991884763
VA,35,10,18,73.11428571428571,0.0,0.35504159058632584
MD,33,14,20,57.36363636363637,3090.909090909091,0.33475349969567864
TX,20,8,12,80.35,1749.75,0.2028809089064719
IL,12,6,7,94.25,3332.9166666666665,0.12172854534388314
NC,12,4,6,40.69230769230769,0.0,0.12172854534388314
CO,11,6,10,90.72727272727273,0.0,0.11158449989855954
AZ,11,8,10,36.81818181818182,0.0,0.11158449989855954
FL,9,4,6,123.44444444444444,0.0,0.09129640900791236
NJ,9,5,8,82.77777777777777,7766.666666666667,0.09129640900791236
OR,8,6,8,43.375,11337.5,0.08115236356258876
HI,8,4,5,125.625,0.0,0.08115236356258876
NY,7,4,6,81.28571428571429,4564.285714285715,0.07100831811726517
CT,7,6,6,74.42857142857143,0.0,0.07100831811726517
SC,6,4,5,17.333333333333332,0.0,0.06086427267194157
NV,6,3,5,93.0,0.0,0.06086427267194157
DC,5,2,4,152.8,0.0,0.050720227226617974
GA,5,4,4,116.8,0.0,0.050720227226617974
MO,4,2,3,157.25,0.0,0.04057618178129438
KY,3,3,3,11.0,0.0,0.030432136335970784
AL,3,2,3,73.33333333333333,0.0,0.030432136335970784
NE,3,3,3,85.0,0.0,0.030432136335970784
LA,3,2,2,0.0,0.0,0.030432136335970784
MA,3,2,3,17.666666666666668,0.0,0.030432136335970784
UT,2,2,2,132.0,0.0,0.02028809089064719
WY,2,2,2,161.0,0.0,0.02028809089064719
AR,2,2,2,236.0,0.0,0.02028809089064719
BC,2,1,2,220.0,49475.0,0.02028809089064719
IN,2,2,2,115.5,0.0,0.02028809089064719
ID,2,2,2,0.0,0.0,0.02028809089064719
OH,2,2,2,0.0,0.0,0.02028809089064719
KS,2,2,2,7.0,0.0,0.02028809089064719
PA,2,1,1,0.0,0.0,0.02028809089064719
AK,1,1,1,0.0,0.0,0.010144045445323595
AP,1,1,1,75.0,0.0,0.010144045445323595
DE,1,1,1,0.0,0.0,0.010144045445323595
MS,1,1,1,0.0,0.0,0.010144045445323595
MN,1,1,1,220.0,0.0,0.010144045445323595
MT,1,1,1,22.0,0.0,0.010144045445323595
NH,1,1,1,308.0,0.0,0.010144045445323595
