Electric_Utility,Vehicle_Count,State_Count
PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7113,3
CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5976,1
PUGET SOUND ENERGY INC,5925,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),3476,1
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,3006,1
PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,1961,1
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,1448,1
BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,999,1
PACIFICORP,828,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,808,1
MODERN ELECTRIC WATER COMPANY,737,1
BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,686,1
BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,668,1
PUD NO 1 OF CHELAN COUNTY,645,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,623,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,609,1
BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),590,1
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,536,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,464,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,406,1
PUD NO 2 OF GRANT COUNTY,396,1
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,333,1
NON WASHINGTON STATE ELECTRIC UTILITY,304,38
AVISTA CORP,285,1
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,270,1
BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,266,1
PUD NO 1 OF DOUGLAS COUNTY,266,1
BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,243,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,220,1
NO KNOWN ELECTRIC UTILITY SERVICE,197,1
CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,187,1
BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),183,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,174,1
BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),173,1
CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,168,1
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,160,1
BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,147,1
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,123,1
BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA),122,1
"OKANOGAN COUNTY ELEC COOP, INC",113,1
