Model_Year,Vehicle_Count,Avg_Range,Median_Range,Avg_MSRP,YoY_Growth_Pct
1997,1,39.0,39.0,0.0,
1998,1,58.0,58.0,0.0,0.0
1999,3,74.0,74.0,0.0,200.0
2000,7,58.0,58.0,0.0,133.33333333333334
2002,2,95.0,95.0,0.0,-71.42857142857143
2003,1,95.0,95.0,0.0,-50.0
2008,10,220.0,220.0,98950.0,900.0
2010,13,226.875,245.0,101205.625,30.000000000000004
2011,40,70.85175879396985,73.0,958.5427135678392,207.6923076923077
2012,163,62.186160440906306,35.0,5977.097366809553,307.5
2013,268,80.31822163819535,75.0,11849.014454664915,64.41717791411044
2014,324,81.17270965956268,72.0,12904.317741489067,20.895522388059696
2015,371,98.06019456830158,84.0,171.2606404539927,14.50617283950617
2016,464,101.65185840707964,84.0,2333.637168141593,25.06738544474394
2017,564,111.91660835082808,93.0,1159.2704688593421,21.55172413793103
2018,695,156.08787480091405,215.0,2503.65210165501,23.226950354609933
2019,740,176.81431370719417,220.0,1894.666884389288,6.474820143884896
2020,772,240.41092615548078,266.0,136.43527536745174,4.324324324324325
2021,1139,10.812941554271035,0.0,0.0,47.53886010362693
2022,1750,4.470448577286953,0.0,0.0,53.64354697102722
2023,1979,4.479408829795841,0.0,0.0,13.085714285714278
2024,222,17.68380062305296,21.0,0.0,-88.7822132390096
