Make,Battery Electric Vehicle (BEV),Plug-in Hybrid Electric Vehicle (PHEV)
ALFA ROMEO,0,12
AUDI,1662,1344
AZURE DYNAMICS,9,0
BENTLEY,0,2
BMW,1796,4643
CADILLAC,84,92
CHEVROLET,7136,4890
CHRYSLER,0,2642
FIAT,806,0
FISKER,0,17
FORD,3908,3706
GENESIS,107,0
HONDA,0,810
HYUNDAI,2695,476
JAGUAR,228,0
JEEP,0,3292
KIA,4148,2050
LAND ROVER,0,47
LEXUS,54,84
LINCOLN,0,229
LUCID,190,0
MAZDA,0,136
MERCEDES-BENZ,790,264
MINI,579,212
MITSUBISHI,59,790
NISSAN,13497,0
POLESTAR,764,0
PORSCHE,547,481
RIVIAN,2483,0
SMART,274,0
SUBARU,559,64
TESLA,68983,0
TH!NK,5,0
TOYOTA,189,5034
VOLKSWAGEN,4074,0
VOLVO,1181,2355
WHEEGO ELECTRIC CARS,0,3
