Make,vehicle_records,unique_models,avg_range,median_range,max_range,avg_msrp,median_msrp,ev_types
TESLA,68983,5,90.2969427250192,0.0,337,1648.601829436238,0.0,1
NISSAN,13497,2,84.7249018300363,84.0,215,0.0,0.0,1
CHEVROLET,12026,5,95.26767004822884,53.0,259,0.0,0.0,2
FORD,7614,8,13.023903335960073,19.0,100,0.0,0.0,2
BMW,6439,11,38.16337940674018,30.0,153,4154.123311073148,0.0,2
KIA,6198,7,52.61568247821878,26.0,239,3253.0413036463374,0.0,2
TOYOTA,5223,6,26.91805475780203,25.0,103,0.0,0.0,2
VOLKSWAGEN,4074,2,28.33406971035837,0.0,125,0.0,0.0,1
VOLVO,3536,7,15.633484162895927,18.0,41,4785.930429864254,0.0,2
JEEP,3292,2,22.331713244228432,21.0,25,0.0,0.0,1
HYUNDAI,3171,8,23.982970671712394,0.0,258,0.0,0.0,2
AUDI,3006,11,53.51729873586161,16.0,222,0.0,0.0,2
CHRYSLER,2642,1,32.24299772899319,32.0,33,1771.163890991673,0.0,1
RIVIAN,2483,3,0.0,0.0,0,0.0,0.0,1
MERCEDES-BENZ,1054,10,10.081593927893739,0.0,87,0.0,0.0,2
PORSCHE,1028,4,46.59727626459144,14.0,203,4294.066147859922,0.0,2
MITSUBISHI,849,2,29.784452296819786,22.0,62,0.0,0.0,2
HONDA,810,2,46.62716049382716,47.0,48,0.0,0.0,1
FIAT,806,1,85.62655086848635,87.0,87,0.0,0.0,1
MINI,791,2,20.826801517067004,0.0,110,7177.370417193426,0.0,2
POLESTAR,764,1,36.29188481675393,0.0,233,0.0,0.0,1
SUBARU,623,2,1.7463884430176566,0.0,17,3594.991974317817,0.0,2
SMART,274,3,62.37591240875913,58.0,68,0.0,0.0,1
LINCOLN,229,2,23.62882096069869,21.0,28,0.0,0.0,1
JAGUAR,228,1,204.23684210526315,234.0,234,0.0,0.0,1
LUCID,190,1,0.0,0.0,0,0.0,0.0,1
CADILLAC,176,3,19.079545454545453,31.0,40,6400.142045454545,0.0,2
LEXUS,138,2,22.52173913043478,37.0,37,0.0,0.0,2
MAZDA,136,1,26.0,26.0,26,0.0,0.0,1
GENESIS,107,3,0.0,0.0,0,0.0,0.0,1
LAND ROVER,47,2,21.72340425531915,19.0,51,0.0,0.0,1
FISKER,17,1,33.0,33.0,33,102000.0,102000.0,1
ALFA ROMEO,12,1,33.0,33.0,33,0.0,0.0,1
AZURE DYNAMICS,9,1,56.0,56.0,56,0.0,0.0,1
TH!NK,5,1,100.0,100.0,100,0.0,0.0,1
WHEEGO ELECTRIC CARS,3,1,100.0,100.0,100,32995.0,32995.0,1
BENTLEY,2,2,19.0,19.0,21,0.0,0.0,1
