Make,records,models,states,avg_range,median_range,avg_msrp,median_msrp,long_range_pct,premium_pct,record_share_pct
ALFA ROMEO,12,1,1,33.0,33.0,0.0,0.0,0.0,0.0,0.007974375672837947
AUDI,3006,11,6,53.51729873586161,16.0,0.0,0.0,21.62341982701264,0.0,1.9975811060459057
AZURE DYNAMICS,9,1,1,56.0,56.0,0.0,0.0,0.0,0.0,0.0059807817546284605
BENTLEY,2,2,1,19.0,19.0,0.0,0.0,0.0,0.0,0.001329062612139658
BMW,6439,11,11,38.16337940674018,30.0,4154.123311073148,0.0,0.0,0.4659108557229384,4.2789170797836285
CADILLAC,176,3,2,19.079545454545453,31.0,6400.142045454545,0.0,0.0,8.522727272727272,0.1169575098682899
CHEVROLET,12026,5,14,95.26767004822884,53.0,0.0,0.0,30.841510061533345,0.0,7.991653486795763
CHRYSLER,2642,1,11,32.24299772899319,32.0,1771.163890991673,0.0,0.0,0.0,1.755691710636488
FIAT,806,1,1,85.62655086848635,87.0,0.0,0.0,0.0,0.0,0.5356122326922822
FISKER,17,1,2,33.0,33.0,102000.0,102000.0,0.0,100.0,0.011297032203187092
FORD,7614,8,12,13.023903335960073,19.0,0.0,0.0,0.0,0.0,5.059741364415678
GENESIS,107,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0711048497494717
HONDA,810,2,3,46.62716049382716,47.0,0.0,0.0,0.0,0.0,0.5382703579165615
HYUNDAI,3171,8,6,23.982970671712394,0.0,0.0,0.0,6.559444970040997,0.0,2.1072287715474274
JAGUAR,228,1,1,204.23684210526315,234.0,0.0,0.0,87.28070175438597,0.0,0.151513137783921
JEEP,3292,2,8,22.331713244228432,21.0,0.0,0.0,0.0,0.0,2.187637059581877
KIA,6198,7,9,52.61568247821878,26.0,3253.0413036463374,0.0,13.681832849306227,0.0,4.1187650350208
LAND ROVER,47,2,2,21.72340425531915,19.0,0.0,0.0,0.0,0.0,0.03123297138528196
LEXUS,138,2,1,22.52173913043478,37.0,0.0,0.0,0.0,0.0,0.09170532023763639
LINCOLN,229,2,2,23.62882096069869,21.0,0.0,0.0,0.0,0.0,0.15217766908999084
LUCID,190,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12626094815326752
MAZDA,136,1,1,26.0,26.0,0.0,0.0,0.0,0.0,0.09037625762549674
MERCEDES-BENZ,1054,10,2,10.081593927893739,0.0,0.0,0.0,0.0,0.0,0.7004159965975998
MINI,791,2,1,20.826801517067004,0.0,7177.370417193426,0.0,0.0,0.0,0.5256442631012347
MITSUBISHI,849,2,2,29.784452296819786,22.0,0.0,0.0,0.0,0.0,0.5641870788532848
NISSAN,13497,2,13,84.7249018300363,84.0,0.0,0.0,1.8004000889086464,0.0,8.969179038024482
POLESTAR,764,1,2,36.29188481675393,0.0,0.0,0.0,15.575916230366493,0.0,0.5077019178373493
PORSCHE,1028,4,2,46.59727626459144,14.0,4294.066147859922,0.0,11.770428015564201,3.0155642023346303,0.6831381826397842
RIVIAN,2483,3,2,0.0,0.0,0.0,0.0,0.0,0.0,1.6500312329713853
SMART,274,3,1,62.37591240875913,58.0,0.0,0.0,0.0,0.0,0.18208157786313311
SUBARU,623,2,2,1.7463884430176566,0.0,3594.991974317817,0.0,0.0,0.0,0.4140030036815034
TESLA,68983,5,35,90.2969427250192,0.0,1648.601829436238,0.0,37.54258295522085,0.06813272835336243,45.84136308661501
TH!NK,5,1,1,100.0,100.0,0.0,0.0,0.0,0.0,0.0033226565303491446
TOYOTA,5223,6,12,26.91805475780203,25.0,0.0,0.0,0.0,0.0,3.4708470116027166
VOLKSWAGEN,4074,2,8,28.33406971035837,0.0,0.0,0.0,0.0,0.0,2.7073005409284834
VOLVO,3536,7,7,15.633484162895927,18.0,4785.930429864254,0.0,0.0,0.0,2.3497826982629153
WHEEGO ELECTRIC CARS,3,1,1,100.0,100.0,32995.0,32995.0,0.0,0.0,0.001993593918209487
