,P01,P05,P25,P50,P75,P90,P95,P99
Postal_Code,98003.0,98006.0,98052.0,98122.0,98370.0,98663.0,98926.0,99338.0
Model_Year,2012.0,2014.0,2018.0,2021.0,2023.0,2023.0,2023.0,2023.0
Electric_Range,0.0,0.0,0.0,18.0,97.0,220.0,266.0,322.0
Base_MSRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69900.0
Vehicle_ID,3386125.88,106054004.55,169347305.25,215030630.0,239911895.5,270840380.5,349070631.55,477128999.4
Census_Tract,53005010815.0,53011040709.0,53033009500.0,53033029309.0,53053072509.0,53061053603.0,53067011722.0,53073010505.0
Legislative_District,1.0,2.0,18.0,33.0,43.0,46.0,48.0,49.0
Vehicle_Age,3.0,3.0,3.0,5.0,8.0,11.0,12.0,14.0
Has_Electric_Range,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Range_Percentile,23.158583750880503,23.158583750880503,23.158583750880503,49.65843090868011,75.06047234885236,88.6723993567337,95.3160510891668,99.15471617867918
Range_ZScore,-0.7053708102936234,-0.7053708102936234,-0.7053708102936234,-0.5183189722702684,0.3026307612766784,1.5808183211029374,2.0588396849404,2.6407787365686155
Has_MSRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MSRP_Percentile,48.85235443441741,48.85235443441741,48.85235443441741,48.85235443441741,48.85235443441741,48.85235443441741,48.85235443441741,99.42850307677996
MSRP_ZScore,-0.1421948460605252,-0.1421948460605252,-0.1421948460605252,-0.1421948460605252,-0.1421948460605252,-0.1421948460605252,-0.1421948460605252,7.429861381512827
Range_per_MSRP,0.000154355016538,0.0002547770700636,0.0003252032520325,0.0029107981220657,0.0029756795422031,0.0029756795422031,0.0032695139911634,0.0044240400667779
MSRP_per_Range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.764705882353
Make_Share_Pct,0.1820815778631331,0.7004159965975998,4.1187650350208,8.969179038024482,45.84136308661501,45.84136308661501,45.84136308661501,45.84136308661501
State_Share_Pct,99.7733948246302,99.7733948246302,99.7733948246302,99.7733948246302,99.7733948246302,99.7733948246302,99.7733948246302,99.7733948246302
EV_Type_Share_Pct,22.37809173190149,22.37809173190149,77.62190826809851,77.62190826809851,77.62190826809851,77.62190826809851,77.62190826809851,77.62190826809851
CAFV_Share_Pct,11.85058678114326,11.85058678114326,41.8329102484018,41.8329102484018,46.31650297045493,46.31650297045493,46.31650297045493,46.31650297045493
Make_Rank,1.0,1.0,1.0,2.0,6.0,12.0,15.0,23.0
State_Rank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Model_Rank,1.0,1.0,2.0,4.0,15.0,36.0,51.0,84.0
Long_Range_Flag,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Premium_MSRP_Flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recent_Model_Flag,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Older_Model_Flag,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
High_Range_Premium_Flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model_Year_Decade,2010.0,2010.0,2010.0,2020.0,2020.0,2020.0,2020.0,2020.0
Range_Score,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0
Log_MSRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.154835234271214
Range_per_10K_MSRP,1.5435501653803747,2.5477707006369426,3.252032520325203,29.10798122065728,29.756795422031477,29.756795422031477,32.695139911634755,44.24040066777963
Is_BEV,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Is_PHEV,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Manufacturer_Frequency,274.0,1054.0,6198.0,13497.0,68983.0,68983.0,68983.0,68983.0
Model_Frequency,88.0,331.0,1917.0,7611.0,27709.0,28502.0,28502.0,28502.0
State_EV_Count,150141.0,150141.0,150141.0,150141.0,150141.0,150141.0,150141.0,150141.0
City_EV_Count,19.0,130.0,771.0,2276.0,5502.0,25678.0,25678.0,25678.0
Utility_EV_Count,152.0,615.0,8643.0,29865.0,55637.0,55637.0,55637.0,55637.0
CAFV_Eligible_Flag,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Has_Location,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Has_Census_Tract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Has_Legislative_District,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Has_VIN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Missing_Features_Count,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
Data_Completeness_Pct,94.02985074626866,94.02985074626866,94.02985074626866,95.52238805970148,95.52238805970148,95.52238805970148,95.52238805970148,100.0
