State,vehicle_records,unique_makes,unique_models,avg_range,median_range,avg_msrp,median_msrp,counties,cities
WA,150141,37,127,67.86313531946637,18.0,1311.2808293537407,0.0,39,461
CA,92,16,28,69.19565217391305,22.0,1998.9130434782608,0.0,21,51
VA,35,10,18,73.11428571428571,32.0,0.0,0.0,14,18
MD,33,14,20,57.36363636363637,30.0,3090.909090909091,0.0,11,27
TX,20,8,12,80.35,23.0,1749.75,0.0,13,14
NC,13,4,6,40.69230769230769,0.0,0.0,0.0,8,9
IL,12,6,7,94.25,30.5,3332.9166666666665,0.0,7,11
CO,11,6,10,90.72727272727273,32.0,0.0,0.0,6,6
AZ,11,8,10,36.81818181818182,22.0,0.0,0.0,2,8
FL,9,4,6,123.44444444444444,42.0,0.0,0.0,8,9
NJ,9,5,8,82.77777777777777,29.0,7766.666666666667,0.0,5,8
OR,8,6,8,43.375,18.0,11337.5,0.0,6,8
HI,8,4,5,125.625,116.5,0.0,0.0,4,6
NY,7,4,6,81.28571428571429,42.0,4564.285714285715,0.0,4,6
CT,7,6,6,74.42857142857143,38.0,0.0,0.0,2,5
SC,6,4,5,17.333333333333332,9.5,0.0,0.0,4,3
NV,6,3,5,93.0,28.5,0.0,0.0,1,2
DC,5,2,4,152.8,151.0,0.0,0.0,1,1
GA,5,4,4,116.8,84.0,0.0,0.0,5,5
MO,4,2,3,157.25,153.5,0.0,0.0,3,3
KY,3,3,3,11.0,0.0,0.0,0.0,3,3
AL,3,2,3,73.33333333333333,0.0,0.0,0.0,3,3
NE,3,3,3,85.0,33.0,0.0,0.0,2,2
LA,3,2,2,0.0,0.0,0.0,0.0,3,3
MA,3,2,3,17.666666666666668,0.0,0.0,0.0,1,3
UT,2,2,2,132.0,132.0,0.0,0.0,1,1
WY,2,2,2,161.0,161.0,0.0,0.0,2,2
AR,2,2,2,236.0,236.0,0.0,0.0,1,1
BC,2,1,2,220.0,220.0,49475.0,49475.0,1,1
IN,2,2,2,115.5,115.5,0.0,0.0,2,2
ID,2,2,2,0.0,0.0,0.0,0.0,2,2
OH,2,2,2,0.0,0.0,0.0,0.0,1,1
KS,2,2,2,7.0,7.0,0.0,0.0,2,2
PA,2,1,1,0.0,0.0,0.0,0.0,2,2
AK,1,1,1,0.0,0.0,0.0,0.0,1,1
AP,1,1,1,75.0,75.0,0.0,0.0,1,1
DE,1,1,1,0.0,0.0,0.0,0.0,1,1
MS,1,1,1,0.0,0.0,0.0,0.0,1,1
MN,1,1,1,220.0,220.0,0.0,0.0,1,1
MT,1,1,1,22.0,22.0,0.0,0.0,1,1
NH,1,1,1,308.0,308.0,0.0,0.0,1,1
