State,records,makes,models,avg_range,median_range,avg_msrp,long_range_pct,premium_pct,record_share_pct
AK,1,1,1,0.0,0.0,0.0,0.0,0.0,0.000664531306069829
AL,3,2,3,73.33333333333333,0.0,0.0,33.33333333333333,0.0,0.001993593918209487
AP,1,1,1,75.0,75.0,0.0,0.0,0.0,0.000664531306069829
AR,2,2,2,236.0,236.0,0.0,50.0,0.0,0.001329062612139658
AZ,11,8,10,36.81818181818182,22.0,0.0,9.090909090909092,0.0,0.007309844366768119
BC,2,1,2,220.0,220.0,49475.0,100.0,50.0,0.001329062612139658
CA,92,16,28,69.19565217391305,22.0,1998.9130434782608,23.91304347826087,0.0,0.06113688015842426
CO,11,6,10,90.72727272727273,32.0,0.0,27.27272727272727,0.0,0.007309844366768119
CT,7,6,6,74.42857142857143,38.0,0.0,14.285714285714285,0.0,0.004651719142488802
DC,5,2,4,152.8,151.0,0.0,40.0,0.0,0.0033226565303491446
DE,1,1,1,0.0,0.0,0.0,0.0,0.0,0.000664531306069829
FL,9,4,6,123.44444444444444,42.0,0.0,44.44444444444444,0.0,0.0059807817546284605
GA,5,4,4,116.8,84.0,0.0,40.0,0.0,0.0033226565303491446
HI,8,4,5,125.625,116.5,0.0,50.0,0.0,0.005316250448558632
ID,2,2,2,0.0,0.0,0.0,0.0,0.0,0.001329062612139658
IL,12,6,7,94.25,30.5,3332.9166666666665,33.33333333333333,0.0,0.007974375672837947
IN,2,2,2,115.5,115.5,0.0,50.0,0.0,0.001329062612139658
KS,2,2,2,7.0,7.0,0.0,0.0,0.0,0.001329062612139658
KY,3,3,3,11.0,0.0,0.0,0.0,0.0,0.001993593918209487
LA,3,2,2,0.0,0.0,0.0,0.0,0.0,0.001993593918209487
MA,3,2,3,17.666666666666668,0.0,0.0,0.0,0.0,0.001993593918209487
MD,33,14,20,57.36363636363637,30.0,3090.909090909091,18.181818181818183,3.0303030303030303,0.021929533100304356
MN,1,1,1,220.0,220.0,0.0,100.0,0.0,0.000664531306069829
MO,4,2,3,157.25,153.5,0.0,50.0,0.0,0.002658125224279316
MS,1,1,1,0.0,0.0,0.0,0.0,0.0,0.000664531306069829
MT,1,1,1,22.0,22.0,0.0,0.0,0.0,0.000664531306069829
NC,13,4,6,40.69230769230769,0.0,0.0,15.384615384615385,0.0,0.008638906978907776
NE,3,3,3,85.0,33.0,0.0,33.33333333333333,0.0,0.001993593918209487
NH,1,1,1,308.0,308.0,0.0,100.0,0.0,0.000664531306069829
NJ,9,5,8,82.77777777777777,29.0,7766.666666666667,33.33333333333333,0.0,0.0059807817546284605
NV,6,3,5,93.0,28.5,0.0,33.33333333333333,0.0,0.003987187836418974
NY,7,4,6,81.28571428571429,42.0,4564.285714285715,28.57142857142857,0.0,0.004651719142488802
OH,2,2,2,0.0,0.0,0.0,0.0,0.0,0.001329062612139658
OR,8,6,8,43.375,18.0,11337.5,12.5,12.5,0.005316250448558632
PA,2,1,1,0.0,0.0,0.0,0.0,0.0,0.001329062612139658
SC,6,4,5,17.333333333333332,9.5,0.0,0.0,0.0,0.003987187836418974
TX,20,8,12,80.35,23.0,1749.75,30.0,0.0,0.013290626121396578
UT,2,2,2,132.0,132.0,0.0,50.0,0.0,0.001329062612139658
VA,35,10,18,73.11428571428571,32.0,0.0,22.857142857142858,0.0,0.023258595712444013
WA,150141,37,127,67.86313531946637,18.0,1311.2808293537407,21.253355179464638,0.09124756062634458,99.77339482463019
WY,2,2,2,161.0,161.0,0.0,50.0,0.0,0.001329062612139658
