keyword,mean_tfidf,frequency
love,0.02531688539705291,24
life,0.02237699731897165,17
one,0.022093205412785765,17
never,0.019589362054115506,13
book,0.0177437129156804,10
thing,0.01679025330352482,10
think,0.01516546697527144,14
know,0.015151633390681403,8
like,0.014777699370954371,9
people,0.014628821504144468,7
read,0.01454568125236835,7
make,0.013802943188436891,14
time,0.012255893762171937,7
person,0.012148013785872547,5
see,0.012067631496918379,7
friend,0.01189760529766871,8
good,0.011674578916950666,8
day,0.011399550604172186,7
truth,0.01135162390466949,6
way,0.011263667255900476,7
great,0.01104494851960055,5
live,0.011014573530888017,7
without,0.010262360170704643,6
get,0.009833941283881303,5
every,0.009137100388209224,5
man,0.009083414821333714,5
going,0.009030625411313168,7
really,0.0089084416972922,5
better,0.008889654450150601,3
world,0.008852522514578456,6
everyone,0.008842682519444547,4
die,0.008726121028853687,4
believe,0.008607589292281573,5
must,0.008387140982410994,5
go,0.00836135279077158,7
hurt,0.008257664236144591,4
let,0.008252385420888197,5
small,0.00816943697380549,3
nothing,0.007908089027125517,4
doesnt,0.007897609877985936,5
dont,0.00788003552105257,8
matter,0.007831472152747633,4
lie,0.007804655575750799,3
understand,0.007784264822067387,3
become,0.007625996931898521,4
may,0.007618368627615486,7
want,0.007552863244487384,5
keep,0.007402040215020173,7
reading,0.007394016373407305,4
harry,0.0072761789287641935,3
genius,0.007270648774009626,3
need,0.007121391318385141,3
mind,0.006960728909779772,3
grow,0.006881599616825643,2
big,0.006828103577062988,3
thinking,0.006827147648786596,4
else,0.0066162985150539765,4
music,0.0065916846046754725,4
im,0.0065656393035505725,4
adventure,0.006555144237102671,2
happens,0.0064682499535221585,4
enough,0.006428375256123929,3
old,0.006371818511964467,3
anything,0.006345065139815018,3
remember,0.006305577697453128,6
eye,0.0062781758508423735,4
might,0.006277187101125901,2
death,0.006138758039368826,3
isnt,0.006109001552955692,2
much,0.0059098502604481564,5
fairy,0.005886681244194669,3
tale,0.005886681244194669,3
fairy tale,0.005886681244194669,0
kind,0.005824654226671304,3
wander,0.005773502691896257,1
lost,0.005773502691896257,1
wander lost,0.005773502691896257,0
learn,0.005761787767816708,2
someone,0.0056975468851719535,2
right,0.005691108922229184,3
point,0.005662743245101081,2
woman,0.005649401368426023,2
forget,0.005582044899820207,3
take,0.00549204227137169,2
youll,0.0054709568095959666,4
trouble,0.005437255029392889,4
imagination,0.005435863585717503,2
everything,0.005390245082530979,5
feel,0.005318665113189196,2
truly,0.005259500792701059,2
find,0.005203350105931431,4
hope,0.005178755434142963,2
loved,0.0051724040821870204,2
give,0.0051405378467675395,7
little,0.005103650036696047,3
though,0.005066306477966048,3
half,0.00506142743334042,3
best,0.005052504239250882,4
hate,0.005030427178078242,3
loyal,0.004994586538973837,1
friend loyal,0.004994586538973837,0
loyal book,0.004994586538973837,0
library,0.004971951412803849,2
every day,0.0049664102404327,0
alone,0.004955747989172092,1
read know,0.004955747989172092,0
know alone,0.004955747989172092,0
could,0.004922524109585994,3
come,0.00491951768508747,5
late,0.004852720547600702,1
late might,0.004852720547600702,0
never late,0.004852720547600702,0
living,0.004767355818908211,2
kiss,0.004755344744073922,2
lack,0.00475436447994761,2
darkness,0.004685121267022689,1
star,0.004685121267022689,1
darkness see,0.004685121267022689,0
see star,0.004685121267022689,0
hated,0.00467258744972966,1
better hated,0.00467258744972966,0
hated loved,0.00467258744972966,0
lady,0.0046654331544277675,2
real,0.004624263291930858,2
making,0.0046098335785027,2
girl,0.004594421614693702,3
something,0.004567380779900919,4
course,0.004563739022908568,2
pity,0.0045608315273079035,2
tea,0.00455095931495168,2
got,0.004528248592503961,2
always,0.004519353348365316,4
trying,0.004502334463686074,3
ive,0.004432731050106988,2
happiness,0.004431781875827708,2
inside,0.0044032385990741135,2
try,0.0043701677442112155,2
anyone,0.004347692268553828,2
around,0.004316680903609797,2
choice,0.004314370734557963,2
judge,0.00430121162340686,1
people time,0.00430121162340686,0
judge people,0.00430121162340686,0
time love,0.00430121162340686,0
live without,0.004296024095513816,0
walk,0.004270919569821728,2
become man,0.004269899118958554,0
left,0.0042611502183858094,2
everyone else,0.00423412716166818,0
live life,0.00422429898613347,0
would,0.004210298259861783,2
die time,0.004198920347879147,0
stupid,0.004189985424581403,2
life one,0.004181729057142173,0
laugh,0.004169376879127728,2
stand,0.004157022507596236,2
necessary,0.0041522088738608015,2
write,0.004146984616303891,2
child,0.004113772006743973,2
last,0.004112006796885921,2
opposite,0.0040932500948242375,4
indifference,0.0040932500948242375,4
im one,0.004072623107661539,0
absolutely,0.004072020726624323,2
beauty,0.004063530934141038,2
plan,0.004059512729387001,1
happens making,0.004059512729387001,0
life happens,0.004059512729387001,0
making plan,0.004059512729387001,0
fool,0.0040501340985891416,1
point understand,0.0040501340985891416,0
know point,0.0040501340985891416,0
fool know,0.0040501340985891416,0
long,0.004000203773720409,2
person matter,0.003984335178645974,0
person person,0.003984335178645974,0
matter small,0.003984335178645974,0
awfully,0.003978294669577422,1
big adventure,0.003978294669577422,0
awfully big,0.003978294669577422,0
die awfully,0.003978294669577422,0
born,0.003969507955952529,1
matter someone,0.003969507955952529,0
someone born,0.003969507955952529,0
born grow,0.003969507955952529,0
drug,0.003936598482639497,1
he,0.003936598482639497,1
bella,0.003936598482639497,1
he like,0.003936598482639497,0
drug bella,0.003936598482639497,0
like drug,0.003936598482639497,0
new,0.003931921855085568,2
done,0.003922121518058705,3
open,0.0039207604485565675,2
miracle,0.0038806451407436353,2
high,0.0038671809073689096,3
scare,0.0038383143001826953,1
thing every,0.0038383143001826953,0
one thing,0.0038383143001826953,0
day scare,0.0038383143001826953,0
fear,0.0038338178018857676,2
loving,0.003782907253042947,2
nonsense,0.003722946574836815,2
well,0.0036659547617732754,3
worthy,0.0036572890927244095,1
tell,0.0036572890927244095,1
tell truth,0.0036572890927244095,0
people worthy,0.0036572890927244095,0
truth people,0.0036572890927244095,0
never tell,0.0036572890927244095,0
often,0.003635809888755486,2
thought,0.003631793791174537,2
indifference opposite,0.0035997842887910475,0
laugh make,0.003579514460683088,0
woman laugh,0.003579514460683088,0
make woman,0.003579514460683088,0
make anything,0.003579514460683088,0
creating,0.0035482063028400243,1
finding,0.0035482063028400243,1
isnt finding,0.0035482063028400243,0
life creating,0.0035482063028400243,0
finding life,0.0035482063028400243,0
life isnt,0.0035482063028400243,0
education,0.003533797515087279,1
interfere,0.003533797515087279,1
schooling,0.003533797515087279,1
let schooling,0.003533797515087279,0
interfere education,0.003533797515087279,0
schooling interfere,0.003533797515087279,0
never let,0.003533797515087279,0
